tipo_celular,module_size,ARHGEF2_MM,ARHGEF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159.0,0.163,20.0,18,1,5.56,4.08 (NA-NA),17,94.44,1.92 (1.48-2.35),1.56,3.37
T cells 18,393.0,0.156,52.0,59,3,5.08,3.61 (2.76-4.46),56,94.92,3.07 (2.55-3.60),2.50,5.50
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.121,29.0,353,70,19.83,2.38 (2.10-2.66),283,80.17,4.38 (4.20-4.57),14.87,6.38
GABA neurons expressing GLU receptors 22,714.0,0.299,90.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00),1.76,3.81
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.153,39.0,141,17,12.06,3.14 (2.40-3.87),124,87.94,2.93 (2.68-3.19),3.06,7.34
oligodendrocytes 20,271.0,0.085,12.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.234,79.0,32,17,53.12,2.28 (1.51-3.05),15,46.88,4.21 (2.95-5.46),3.01,2.13
oligodendrocytes 10,1277.0,0.146,71.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,84.0,0.203,20.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60),NA,1.83
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,116.0,0.164,22.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68),NA,1.37
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,134.0,0.305,47.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55),NA,1.74
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,187.0,0.109,14.0,14,3,21.43,6.26 (4.45-8.07),11,78.57,5.39 (4.74-6.05),1.61,2.73
microglia 1,958.0,0.116,57.0,290,35,12.07,2.93 (2.53-3.34),255,87.93,3.97 (3.72-4.23),4.99,5.00
oligodendrocytes 3,242.0,0.098,31.0,6,4,66.67,5.36 (5.10-5.61),2,33.33,7.24 (5.20-9.28),2.20,1.74
oligodendrocytes 2,131.0,0.137,20.0,20,2,10.0,2.42 (2.37-2.47),18,90.0,4.81 (4.10-5.52),1.90,4.03
