tipo_celular,module_size,MYOM1_MM,MYOM1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.112,15.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,200.0,0.099,15.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74),NA,4.29
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,685.0,0.102,30.0,135,29,21.48,2.43 (1.87-3.00),106,78.52,3.42 (3.08-3.77),3.37,3.85
da like neurons 11,209.0,0.292,76.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.263,71.0,54,7,12.96,5.80 (4.73-6.88),47,87.04,4.62 (3.92-5.33),6.56,4.81
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.178,81.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,140.0,0.28,88.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
oligodendrocyte progenitor cells 12,3303.0,0.081,53.0,276,26,9.42,1.99 (1.62-2.35),250,90.58,3.75 (3.53-3.98),6.22,5.00
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,93.0,0.246,30.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.92
astrocytes 15,367.0,0.166,67.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,300.0,0.097,17.0,159,10,6.29,6.35 (6.08-6.62),149,93.71,4.19 (3.87-4.50),3.04,3.78
astrocytes microglia 23,255.0,0.284,70.0,57,3,5.26,2.63 (2.46-2.79),54,94.74,2.65 (2.28-3.03),2.44,3.38
astrocytes 4,514.0,0.152,30.0,95,8,8.42,2.78 (0.88-4.69),87,91.58,3.43 (3.01-3.85),2.73,4.82
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
