tipo_celular,module_size,ZNF347_MM,ZNF347_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.107,14.0,353,34,9.63,1.57 (1.30-1.84),319,90.37,4.22 (4.05-4.39),23.50,6.42
GABA neurons expressing GLU receptors 22,703.0,0.187,51.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88),1.58,4.03
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.104,14.0,120,0,0.0,NA,120,100.0,4.61 (4.29-4.92),NA,3.65
oligodendrocytes 20,938.0,0.018,1.0,169,3,1.78,0.69 (0.05-1.34),166,98.22,3.54 (3.33-3.75),3.75,5.39
GABA like neurons 14,2090.0,0.121,27.0,74,15,20.27,2.32 (2.04-2.60),59,79.73,3.13 (2.66-3.60),3.24,12.34
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.064,31.0,276,28,10.14,1.68 (1.46-1.90),248,89.86,3.83 (3.61-4.05),7.40,4.85
oligodendrocytes 10,2107.0,0.073,14.0,358,38,10.61,1.53 (1.28-1.79),320,89.39,4.25 (4.07-4.43),27.02,7.39
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,121.0,0.249,76.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53),NA,2.09
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,95.0,0.391,87.0,4,0,0.0,NA,4,100.0,0.43 (0.30-0.56),NA,3.03
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.147,97.0,238,9,3.78,2.10 (1.58-2.62),229,96.22,3.71 (3.48-3.93),7.99,4.91
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.098,52.0,15,3,20.0,0.35 (0.26-0.44),12,80.0,4.20 (2.87-5.53),3.72,1.84
oligodendrocytes 2,1630.0,0.134,33.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
