tipo_celular,module_size,KCNB1_MM,KCNB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,156.0,0.128,38.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.128,39.0,353,16,4.53,2.69 (2.06-3.33),337,95.47,3.96 (3.77-4.15),10.68,7.94
GABA neurons expressing GLU receptors 22,459.0,0.091,16.0,165,36,21.82,3.61 (3.12-4.09),129,78.18,5.66 (5.28-6.03),4.31,4.03
GLU like neurons 17,300.0,0.197,58.0,16,1,6.25,0.79 (NA-NA),15,93.75,2.18 (1.29-3.08),1.89,2.51
da like neurons 11,853.0,0.09,18.0,133,6,4.51,3.03 (1.35-4.71),127,95.49,3.27 (2.95-3.59),3.87,4.18
GABA neurons expressing GABA receptors 13,77.0,0.132,19.0,8,4,50.0,3.31 (2.56-4.07),4,50.0,3.00 (0.91-5.08),1.82,1.71
endothelial cells 9,586.0,0.326,71.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.172,62.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.063,29.0,66,5,7.58,1.89 (0.75-3.04),61,92.42,3.35 (2.92-3.79),2.63,2.98
oligodendrocyte progenitor cells 12,411.0,0.057,30.0,103,21,20.39,5.29 (4.66-5.92),82,79.61,5.62 (5.16-6.09),4.09,2.83
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,139.0,0.309,52.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,261.0,0.343,96.0,8,2,25.0,4.26 (NA-NA),6,75.0,3.58 (1.19-5.97),2.10,1.74
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,307.0,0.141,68.0,95,21,22.11,5.24 (4.63-5.84),74,77.89,4.74 (4.21-5.27),3.34,3.37
astrocytes microglia 23,111.0,0.304,42.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,161.0,0.147,29.0,45,6,13.33,5.51 (5.51-5.51),39,86.67,5.27 (4.60-5.94),2.45,3.21
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
