tipo_celular,module_size,USP39_MM,USP39_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206.0,0.128,6.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,506.0,0.156,38.0,225,13,5.78,2.63 (1.95-3.32),212,94.22,3.70 (3.43-3.96),10.78,7.73
astrocytes 5,328.0,0.153,45.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,448.0,0.149,56.0,108,1,0.93,3.55 (NA-NA),107,99.07,3.25 (2.81-3.70),1.97,17.26
GABA neurons expressing GLU receptors 22,1069.0,0.14,31.0,37,4,10.81,2.23 (1.51-2.95),33,89.19,2.15 (1.63-2.66),2.83,3.13
GLU like neurons 17,685.0,0.036,2.0,135,11,8.15,1.45 (1.02-1.89),124,91.85,3.37 (3.06-3.69),4.41,3.69
da like neurons 11,408.0,0.1,22.0,25,5,20.0,1.73 (0.88-2.57),20,80.0,5.58 (4.15-7.00),2.24,2.29
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.146,30.0,302,8,2.65,3.10 (1.68-4.52),294,97.35,4.01 (3.78-4.23),9.76,10.68
oligodendrocytes 20,221.0,0.265,71.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,2402.0,0.16,28.0,455,38,8.35,2.30 (1.87-2.72),417,91.65,4.59 (4.41-4.78),15.83,8.20
astrocytes 8,603.0,0.099,64.0,89,11,12.36,2.21 (1.42-2.99),78,87.64,2.87 (2.48-3.26),4.55,6.25
oligodendrocyte progenitor cells 12,1049.0,0.205,85.0,235,9,3.83,3.45 (3.03-3.88),226,96.17,3.84 (3.60-4.09),8.13,7.59
oligodendrocytes 10,2107.0,0.093,25.0,358,38,10.61,1.81 (1.49-2.13),320,89.39,4.20 (4.02-4.39),33.55,6.61
connective tissue cells 21,118.0,0.331,65.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA),NA,3.19
astrocytes 15,1768.0,0.072,35.0,105,24,22.86,1.90 (1.52-2.28),81,77.14,3.64 (3.27-4.02),6.35,3.28
oligodendrocytes 16,121.0,0.181,24.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53),NA,2.09
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,126.0,0.254,14.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA),NA,1.67
astrocytes 4,208.0,0.152,25.0,173,2,1.16,3.39 (3.07-3.71),171,98.84,3.80 (3.50-4.11),2.59,5.66
oligodendrocytes 0,546.0,0.14,31.0,252,22,8.73,1.89 (1.32-2.47),230,91.27,4.38 (4.14-4.62),8.69,8.16
microglia 1,406.0,0.103,18.0,278,2,0.72,4.31 (4.31-4.31),276,99.28,4.36 (4.09-4.64),5.85,6.74
oligodendrocytes 3,743.0,0.134,90.0,76,1,1.32,2.44 (NA-NA),75,98.68,3.17 (2.77-3.57),1.44,7.37
oligodendrocytes 2,526.0,0.256,48.0,213,2,0.94,4.31 (4.31-4.31),211,99.06,3.97 (3.70-4.25),2.74,7.99
