tipo_celular,module_size,DPY19L1_MM,DPY19L1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.148,31.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,727.0,0.105,21.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,1141.0,0.178,95.0,166,4,2.41,1.73 (0.71-2.75),162,97.59,3.44 (3.19-3.69),10.03,4.41
oligodendrocyte progenitor cells 7,4285.0,0.183,99.0,353,13,3.68,1.56 (0.87-2.26),340,96.32,4.00 (3.81-4.18),35.50,7.01
GABA neurons expressing GLU receptors 22,487.0,0.213,50.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,795.0,0.149,59.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.121,18.0,120,2,1.67,3.58 (1.82-5.33),118,98.33,4.63 (4.31-4.95),2.32,3.67
oligodendrocytes 20,403.0,0.08,35.0,18,6,33.33,0.93 (0.26-1.60),12,66.67,2.35 (1.50-3.21),5.51,2.93
GABA like neurons 14,3052.0,0.126,38.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,283.0,0.201,80.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.131,94.0,276,6,2.17,2.45 (1.49-3.40),270,97.83,3.57 (3.35-3.79),9.50,5.01
oligodendrocytes 10,1277.0,0.094,41.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,111.0,0.224,20.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,1768.0,0.153,92.0,105,5,4.76,2.07 (1.53-2.61),100,95.24,3.27 (2.93-3.62),4.72,3.94
oligodendrocytes 16,156.0,0.152,13.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,103.0,0.232,6.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,171.0,0.198,62.0,22,0,0.0,NA,22,100.0,4.54 (3.62-5.46),NA,2.02
oligodendrocytes 0,187.0,0.229,75.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14),NA,2.49
microglia 1,1615.0,0.117,61.0,161,9,5.59,1.41 (0.50-2.32),152,94.41,3.41 (3.14-3.68),18.27,4.67
oligodendrocytes 3,187.0,0.14,71.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,347.0,0.255,72.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
