tipo_celular,module_size,PIDD1_MM,PIDD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.065,1.0,136,7,5.15,2.16 (1.49-2.83),129,94.85,3.27 (2.99-3.55),6.02,4.93
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,348.0,0.059,28.0,33,2,6.06,2.98 (2.51-3.45),31,93.94,2.72 (2.20-3.24),4.31,3.32
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,603.0,0.085,56.0,89,7,7.87,1.39 (0.90-1.89),82,92.13,2.93 (2.56-3.29),4.80,6.15
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,1277.0,0.059,16.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.109,70.0,105,22,20.95,1.82 (1.44-2.20),83,79.05,3.62 (3.25-3.99),6.92,3.20
oligodendrocytes 16,121.0,0.288,91.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53),NA,2.09
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,96.0,0.32,48.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,4.29
astrocytes 4,1807.0,0.159,77.0,104,29,27.88,1.87 (1.52-2.21),75,72.12,3.29 (2.97-3.62),10.57,3.40
oligodendrocytes 0,2078.0,0.05,0.0,238,12,5.04,2.35 (1.88-2.82),226,94.96,3.72 (3.49-3.95),7.91,4.87
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.065,20.0,87,42,48.28,1.93 (1.70-2.16),45,51.72,3.30 (2.90-3.71),5.57,3.00
oligodendrocytes 2,1630.0,0.142,51.0,154,1,0.65,4.40 (NA-NA),153,99.35,3.24 (2.97-3.50),2.04,3.60
