tipo_celular,module_size,HFM1_MM,HFM1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.136,58.0,166,13,7.83,1.59 (1.02-2.16),153,92.17,3.56 (3.31-3.81),5.38,4.48
oligodendrocyte progenitor cells 7,4285.0,0.145,66.0,353,23,6.52,1.58 (1.02-2.13),330,93.48,4.07 (3.89-4.25),28.56,6.64
GABA neurons expressing GLU receptors 22,203.0,0.246,43.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,795.0,0.081,18.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.174,78.0,125,2,1.6,5.16 (NA-NA),123,98.4,3.33 (3.01-3.66),2.10,8.72
astrocytes 8,1266.0,0.054,19.0,66,9,13.64,0.99 (0.51-1.48),57,86.36,3.64 (3.26-4.03),4.06,2.78
oligodendrocyte progenitor cells 12,3303.0,0.049,14.0,276,10,3.62,2.15 (1.23-3.07),266,96.38,3.61 (3.39-3.83),13.49,4.80
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,268.0,0.056,29.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38),NA,1.59
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,157.0,0.293,42.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.136,23.0,65,1,1.54,5.16 (NA-NA),64,98.46,2.92 (2.53-3.31),2.40,5.80
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
