tipo_celular,module_size,DELE1_MM,DELE1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.097,9.0,32,3,9.38,3.57 (2.56-4.58),29,90.62,3.74 (2.87-4.61),4.68,3.50
T cells 18,388.0,0.085,12.0,84,1,1.19,3.70 (NA-NA),83,98.81,2.96 (2.63-3.29),1.91,4.35
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.129,40.0,353,15,4.25,1.38 (0.82-1.93),338,95.75,4.04 (3.86-4.22),32.74,6.97
GABA neurons expressing GLU receptors 22,1069.0,0.158,45.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,300.0,0.189,51.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93),NA,2.47
da like neurons 11,108.0,0.125,19.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15),NA,3.13
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.072,5.0,120,11,9.17,2.87 (2.33-3.40),109,90.83,4.79 (4.47-5.11),5.70,3.45
oligodendrocytes 20,279.0,0.305,77.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,2090.0,0.121,27.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.057,23.0,276,8,2.9,1.59 (1.00-2.18),268,97.1,3.61 (3.39-3.83),5.14,5.11
oligodendrocytes 10,2107.0,0.075,15.0,358,16,4.47,1.43 (0.75-2.10),342,95.53,4.02 (3.83-4.20),26.65,8.67
connective tissue cells 21,136.0,0.368,83.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA),NA,1.93
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,121.0,0.303,94.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53),NA,2.09
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,161.0,0.284,36.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41),NA,2.66
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.096,16.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87),13.66,4.99
microglia 1,1615.0,0.099,33.0,161,16,9.94,1.71 (0.94-2.47),145,90.06,3.47 (3.21-3.74),10.96,4.82
oligodendrocytes 3,681.0,0.077,34.0,87,6,6.9,1.65 (0.60-2.70),81,93.1,2.66 (2.38-2.93),6.15,4.10
oligodendrocytes 2,1630.0,0.132,29.0,154,2,1.3,1.97 (1.67-2.26),152,98.7,3.26 (3.00-3.53),4.07,3.59
