tipo_celular,module_size,CDKL1_MM,CDKL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.177,98.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10),1.96,4.36
oligodendrocyte progenitor cells 7,4285.0,0.155,79.0,353,35,9.92,2.43 (1.93-2.94),318,90.08,4.10 (3.91-4.28),27.06,5.97
GABA neurons expressing GLU receptors 22,823.0,0.23,80.0,23,7,30.43,3.34 (2.45-4.23),16,69.57,1.80 (0.90-2.69),2.23,3.94
GLU like neurons 17,685.0,0.116,39.0,135,15,11.11,2.10 (1.24-2.96),120,88.89,3.31 (2.99-3.62),5.49,3.53
da like neurons 11,408.0,0.17,51.0,25,7,28.0,1.34 (0.69-2.00),18,72.0,6.38 (5.26-7.49),2.20,2.31
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,348.0,0.353,94.0,33,8,24.24,3.55 (3.11-3.99),25,75.76,2.44 (1.84-3.04),3.05,3.49
GABA like neurons 14,2090.0,0.133,35.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,771.0,0.114,47.0,48,3,6.25,4.49 (0.86-8.11),45,93.75,4.43 (3.65-5.20),1.64,3.24
oligodendrocyte progenitor cells 12,3303.0,0.123,91.0,276,29,10.51,2.97 (2.46-3.47),247,89.49,3.63 (3.40-3.87),13.10,4.17
oligodendrocytes 10,1277.0,0.201,91.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,111.0,0.225,23.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,377.0,0.078,9.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45),2.71,2.35
oligodendrocytes 16,158.0,0.16,23.0,30,0,0.0,NA,30,100.0,2.33 (1.68-2.98),NA,12.02
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,49.0,0.489,98.0,1,0,0.0,NA,1,100.0,6.09 (NA-NA),NA,1.31
astrocytes 4,255.0,0.286,95.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,613.0,0.256,97.0,127,3,2.36,2.54 (0.99-4.09),124,97.64,3.07 (2.64-3.50),6.85,6.26
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.311,100.0,87,12,13.79,1.70 (1.13-2.28),75,86.21,2.74 (2.45-3.03),9.54,3.39
oligodendrocytes 2,407.0,0.234,96.0,122,16,13.11,1.34 (0.84-1.84),106,86.89,3.73 (3.33-4.13),3.97,2.51
