tipo_celular,module_size,TXNDC15_MM,TXNDC15_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.095,7.0,353,11,3.12,1.71 (1.01-2.42),342,96.88,3.98 (3.80-4.16),18.97,7.71
GABA neurons expressing GLU receptors 22,1069.0,0.156,44.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,289.0,0.08,6.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,101.0,0.163,54.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.99
endothelial cells 9,586.0,0.059,4.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,403.0,0.066,29.0,18,2,11.11,0.45 (0.32-0.59),16,88.89,2.06 (1.34-2.77),6.60,3.44
GABA like neurons 14,2402.0,0.104,10.0,455,6,1.32,1.57 (0.60-2.54),449,98.68,4.39 (4.21-4.58),25.20,8.62
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.051,16.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,806.0,0.108,30.0,261,5,1.92,3.96 (3.43-4.49),256,98.08,4.38 (4.13-4.62),4.52,6.10
connective tissue cells 21,86.0,0.186,6.0,7,2,28.57,4.47 (3.98-4.97),5,71.43,2.70 (2.17-3.23),1.52,1.47
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,64.0,0.19,51.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,1.65
da neurons 6,518.0,0.084,19.0,122,6,4.92,1.09 (0.45-1.73),116,95.08,4.19 (3.80-4.57),3.10,3.50
astrocytes microglia 23,161.0,0.314,49.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.119,61.0,238,2,0.84,1.22 (-0.77-3.20),236,99.16,3.66 (3.44-3.88),9.83,4.98
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.06,12.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630.0,0.138,42.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
