tipo_celular,module_size,CCNT1_MM,CCNT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.152,33.0,102,40,39.22,2.49 (2.13-2.85),62,60.78,4.15 (3.67-4.63),3.72,2.59
T cells 18,518.0,0.138,37.0,131,1,0.76,2.25 (NA-NA),130,99.24,3.08 (2.80-3.36),4.47,4.76
astrocytes 5,1656.0,0.1,25.0,136,14,10.29,2.76 (1.92-3.60),122,89.71,3.26 (2.97-3.54),5.34,4.95
oligodendrocyte progenitor cells 7,4285.0,0.136,51.0,353,71,20.11,2.38 (2.07-2.70),282,79.89,4.38 (4.20-4.56),19.71,5.13
GABA neurons expressing GLU receptors 22,848.0,0.126,13.0,262,13,4.96,2.22 (1.14-3.30),249,95.04,4.26 (4.01-4.50),5.36,4.04
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,132.0,0.081,9.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22),NA,2.11
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.157,81.0,275,59,21.45,2.13 (1.84-2.42),216,78.55,4.73 (4.48-4.99),11.43,4.37
oligodendrocytes 20,358.0,0.037,11.0,31,3,9.68,3.29 (2.72-3.86),28,90.32,2.25 (1.79-2.72),1.88,4.04
GABA like neurons 14,3052.0,0.191,88.0,125,7,5.6,3.86 (3.23-4.49),118,94.4,3.33 (2.99-3.66),3.96,8.89
astrocytes 8,577.0,0.076,43.0,83,6,7.23,2.15 (1.34-2.97),77,92.77,3.34 (2.87-3.81),2.37,4.64
oligodendrocyte progenitor cells 12,254.0,0.028,2.0,37,0,0.0,NA,37,100.0,4.50 (3.92-5.08),NA,2.47
oligodendrocytes 10,2107.0,0.072,14.0,358,85,23.74,2.31 (2.04-2.58),273,76.26,4.50 (4.31-4.68),21.17,5.83
connective tissue cells 21,112.0,0.288,76.0,7,2,28.57,2.00 (1.71-2.28),5,71.43,1.94 (0.81-3.06),1.66,2.04
astrocytes 15,1401.0,0.036,7.0,96,4,4.17,1.90 (1.73-2.07),92,95.83,3.68 (3.22-4.14),1.89,3.88
oligodendrocytes 16,66.0,0.329,96.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,103.0,0.359,77.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.144,49.0,104,37,35.58,2.19 (1.80-2.59),67,64.42,3.28 (2.94-3.63),9.07,3.37
oligodendrocytes 0,2078.0,0.103,27.0,238,22,9.24,2.97 (2.49-3.45),216,90.76,3.71 (3.48-3.95),6.24,4.90
microglia 1,958.0,0.111,50.0,290,14,4.83,2.89 (2.01-3.77),276,95.17,3.87 (3.63-4.10),6.26,4.94
oligodendrocytes 3,187.0,0.055,10.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,1630.0,0.145,56.0,154,7,4.55,4.81 (3.34-6.29),147,95.45,3.17 (2.91-3.44),3.44,3.60
