tipo_celular,module_size,ZNF708_MM,ZNF708_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125.0,0.28,76.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,349.0,0.053,3.0,68,3,4.41,0.90 (0.75-1.04),65,95.59,4.58 (4.05-5.12),2.46,3.35
astrocytes 5,322.0,0.173,51.0,58,1,1.72,0.87 (NA-NA),57,98.28,4.24 (3.83-4.65),1.47,2.33
oligodendrocyte progenitor cells 7,4285.0,0.156,80.0,353,26,7.37,1.70 (1.45-1.94),327,92.63,4.12 (3.94-4.30),15.58,7.47
GABA neurons expressing GLU receptors 22,1069.0,0.131,24.0,37,4,10.81,2.06 (1.60-2.51),33,89.19,2.17 (1.65-2.69),2.44,3.18
GLU like neurons 17,637.0,0.326,85.0,91,1,1.1,0.21 (NA-NA),90,98.9,4.60 (4.09-5.12),2.04,3.07
da like neurons 11,408.0,0.213,59.0,25,3,12.0,0.90 (0.75-1.04),22,88.0,5.27 (3.96-6.58),2.03,2.31
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.23,56.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,330.0,0.134,31.0,36,12,33.33,1.86 (1.62-2.11),24,66.67,1.95 (1.43-2.48),1.90,3.74
GABA like neurons 14,2402.0,0.078,4.0,455,8,1.76,1.10 (0.87-1.34),447,98.24,4.42 (4.24-4.60),9.29,8.83
astrocytes 8,771.0,0.27,77.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708.0,0.175,72.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,130.0,0.629,97.0,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,250.0,0.242,27.0,117,0,0.0,NA,117,100.0,5.37 (4.97-5.77),NA,3.74
astrocytes 15,1768.0,0.146,90.0,105,10,9.52,1.05 (0.78-1.32),95,90.48,3.46 (3.13-3.80),5.27,3.84
oligodendrocytes 16,199.0,0.201,76.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,157.0,0.215,3.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514.0,0.136,17.0,95,4,4.21,1.14 (0.66-1.61),91,95.79,3.50 (3.07-3.92),3.10,4.71
oligodendrocytes 0,613.0,0.117,22.0,127,11,8.66,1.84 (1.61-2.06),116,91.34,3.24 (2.78-3.71),2.86,6.60
microglia 1,1615.0,0.112,54.0,161,26,16.15,1.70 (1.45-1.94),135,83.85,3.66 (3.37-3.94),6.05,5.31
oligodendrocytes 3,854.0,0.203,100.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19),3.05,4.79
oligodendrocytes 2,804.0,0.097,3.0,84,2,2.38,0.51 (-0.09-1.11),82,97.62,2.76 (2.42-3.09),3.31,3.40
