tipo_celular,module_size,PPP6R2_MM,PPP6R2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.181,35.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,624.0,0.116,22.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,117.0,0.098,19.0,28,0,0.0,NA,28,100.0,5.31 (4.72-5.89),NA,2.41
oligodendrocyte progenitor cells 7,666.0,0.11,11.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17),NA,5.84
GABA neurons expressing GLU receptors 22,1069.0,0.154,42.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1247.0,0.198,83.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.317,98.0,133,8,6.02,1.21 (0.48-1.95),125,93.98,3.41 (3.10-3.72),6.43,4.02
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.144,63.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,253.0,0.227,76.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,1300.0,0.323,93.0,306,4,1.31,2.93 (2.17-3.68),302,98.69,5.13 (4.87-5.40),4.31,6.74
astrocytes 8,1266.0,0.217,96.0,66,10,15.15,1.42 (0.68-2.16),56,84.85,3.61 (3.20-4.02),3.89,2.79
oligodendrocyte progenitor cells 12,3303.0,0.074,44.0,276,6,2.17,1.36 (0.90-1.83),270,97.83,3.59 (3.38-3.81),9.48,5.01
oligodendrocytes 10,2107.0,0.169,58.0,358,15,4.19,1.30 (0.69-1.92),343,95.81,3.99 (3.80-4.18),31.08,8.53
connective tissue cells 21,100.0,0.236,20.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.06,24.0,105,4,3.81,1.22 (0.43-2.02),101,96.19,3.28 (2.94-3.61),4.43,3.96
oligodendrocytes 16,78.0,0.145,20.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,398.0,0.091,14.0,138,5,3.62,1.81 (0.40-3.22),133,96.38,4.96 (4.60-5.32),3.59,2.70
astrocytes microglia 23,253.0,0.171,8.0,47,1,2.13,NA,46,97.87,2.84 (2.52-3.17),1.54,3.12
astrocytes 4,251.0,0.129,22.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86),NA,3.07
oligodendrocytes 0,1186.0,0.121,17.0,300,2,0.67,3.81 (3.31-4.31),298,99.33,3.79 (3.59-4.00),3.58,4.16
microglia 1,480.0,0.109,8.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97),NA,5.17
oligodendrocytes 3,357.0,0.132,74.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45),NA,4.24
oligodendrocytes 2,407.0,0.187,78.0,122,11,9.02,1.13 (0.55-1.71),111,90.98,3.62 (3.22-4.01),4.01,2.57
