tipo_celular,module_size,KIF27_MM,KIF27_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.125,40.0,166,8,4.82,2.00 (1.14-2.86),158,95.18,3.48 (3.22-3.73),3.82,4.59
oligodendrocyte progenitor cells 7,4285.0,0.177,96.0,353,18,5.1,1.70 (1.11-2.29),335,94.9,4.04 (3.86-4.23),24.40,7.19
GABA neurons expressing GLU receptors 22,599.0,0.113,8.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,489.0,0.125,40.0,42,4,9.52,4.23 (4.11-4.34),38,90.48,6.26 (5.69-6.84),5.00,3.02
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,250.0,0.527,99.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,3052.0,0.1,18.0,125,4,3.2,4.34 (3.93-4.76),121,96.8,3.31 (2.98-3.64),2.44,8.82
astrocytes 8,727.0,0.044,6.0,29,1,3.45,3.81 (NA-NA),28,96.55,2.31 (1.81-2.81),2.39,3.59
oligodendrocyte progenitor cells 12,3303.0,0.102,76.0,276,11,3.99,2.47 (1.69-3.25),265,96.01,3.60 (3.38-3.82),7.39,5.02
oligodendrocytes 10,2107.0,0.101,29.0,358,17,4.75,1.60 (1.02-2.17),341,95.25,4.01 (3.83-4.20),21.57,8.87
connective tissue cells 21,114.0,0.432,100.0,11,1,9.09,0.40 (NA-NA),10,90.91,1.74 (0.59-2.89),3.65,1.99
astrocytes 15,443.0,0.161,57.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55),NA,2.22
oligodendrocytes 16,66.0,0.261,73.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,126.0,0.22,4.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA),NA,1.67
astrocytes 4,721.0,0.155,57.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44),2.87,6.18
oligodendrocytes 0,2078.0,0.135,89.0,238,3,1.26,1.65 (0.22-3.08),235,98.74,3.67 (3.45-3.89),10.17,4.96
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.069,24.0,87,6,6.9,1.16 (0.67-1.65),81,93.1,2.70 (2.42-2.97),3.39,4.30
oligodendrocytes 2,1630.0,0.149,65.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
