tipo_celular,module_size,PARP8_MM,PARP8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.229,77.0,32,4,12.5,3.24 (2.27-4.21),28,87.5,3.81 (2.91-4.71),4.28,3.52
T cells 18,388.0,0.342,95.0,84,1,1.19,3.70 (NA-NA),83,98.81,2.96 (2.63-3.29),1.91,4.35
astrocytes 5,1141.0,0.134,54.0,166,16,9.64,2.13 (1.47-2.79),150,90.36,3.56 (3.30-3.82),6.05,4.39
oligodendrocyte progenitor cells 7,448.0,0.1,18.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,459.0,0.233,76.0,165,6,3.64,1.68 (0.99-2.37),159,96.36,5.25 (4.92-5.58),3.45,4.11
GLU like neurons 17,489.0,0.32,92.0,42,1,2.38,2.68 (NA-NA),41,97.62,6.11 (5.58-6.64),2.25,3.24
da like neurons 11,137.0,0.434,92.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA),NA,1.63
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.183,43.0,62,1,1.61,NA,61,98.39,4.05 (3.60-4.49),2.30,4.24
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.208,51.0,306,17,5.56,2.35 (1.78-2.93),289,94.44,5.32 (5.07-5.58),5.08,6.80
astrocytes 8,727.0,0.126,62.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,143.0,0.469,79.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,91.0,0.2,10.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44),NA,2.51
astrocytes 15,443.0,0.145,43.0,9,4,44.44,2.50 (0.97-4.04),5,55.56,3.72 (1.88-5.57),2.78,1.77
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,253.0,0.284,70.0,47,1,2.13,0.94 (NA-NA),46,97.87,2.89 (2.57-3.22),2.72,3.09
astrocytes 4,752.0,0.169,73.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,1615.0,0.165,95.0,161,25,15.53,1.93 (1.37-2.50),136,84.47,3.57 (3.30-3.84),10.98,4.41
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
