tipo_celular,module_size,DENND2A_MM,DENND2A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.094,27.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,666.0,0.086,6.0,127,3,2.36,3.72 (0.49-6.94),124,97.64,3.84 (3.50-4.17),3.06,5.91
GABA neurons expressing GLU receptors 22,1069.0,0.114,16.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,191.0,0.189,36.0,93,0,0.0,NA,93,100.0,5.65 (5.25-6.05),NA,4.14
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.332,72.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,330.0,0.263,80.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27),NA,3.13
GABA like neurons 14,2090.0,0.157,53.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,283.0,0.141,52.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.117,88.0,276,11,3.99,2.26 (1.66-2.86),265,96.01,3.61 (3.39-3.84),10.72,4.88
oligodendrocytes 10,1277.0,0.105,48.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,147.0,0.365,94.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80),NA,3.67
astrocytes 15,418.0,0.067,37.0,54,2,3.7,5.16 (5.16-5.16),52,96.3,3.62 (3.17-4.07),2.12,3.05
oligodendrocytes 16,91.0,0.227,73.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49),NA,4.52
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,122.0,0.267,25.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68),NA,1.70
astrocytes 4,161.0,0.092,4.0,45,1,2.22,7.00 (NA-NA),44,97.78,5.22 (4.59-5.86),1.97,3.13
oligodendrocytes 0,1186.0,0.148,56.0,300,3,1.0,2.81 (1.35-4.27),297,99.0,3.80 (3.59-4.01),4.20,4.16
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.102,57.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,348.0,0.24,65.0,114,3,2.63,4.63 (3.58-5.68),111,97.37,5.13 (4.71-5.56),2.04,4.46
