tipo_celular,module_size,NR1H2_MM,NR1H2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.182,42.0,302,3,0.99,3.41 (-1.45-8.26),299,99.01,3.99 (3.77-4.21),3.84,10.72
oligodendrocytes 20,938.0,0.087,30.0,169,8,4.73,1.92 (0.85-3.00),161,95.27,3.56 (3.35-3.78),4.64,5.40
GABA like neurons 14,2402.0,0.121,15.0,455,32,7.03,2.05 (1.55-2.56),423,92.97,4.59 (4.41-4.77),18.10,8.13
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,483.0,0.069,22.0,129,1,0.78,3.96 (NA-NA),128,99.22,3.42 (3.03-3.82),2.60,19.32
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,113.0,0.249,76.0,10,2,20.0,2.31 (1.34-3.27),8,80.0,3.10 (2.12-4.07),3.10,1.58
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,70.0,0.374,82.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.53
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.081,4.0,252,28,11.11,2.13 (1.35-2.90),224,88.89,4.39 (4.16-4.62),8.49,8.17
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.059,17.0,76,1,1.32,5.88 (NA-NA),75,98.68,3.12 (2.73-3.51),3.08,7.34
oligodendrocytes 2,1630.0,0.132,30.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
