tipo_celular,module_size,CLTB_MM,CLTB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,296.0,0.146,27.0,251,6,2.39,5.58 (4.86-6.29),245,97.61,4.03 (3.79-4.27),2.21,6.25
GABA neurons expressing GLU receptors 22,487.0,0.264,67.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,685.0,0.094,25.0,135,5,3.7,2.09 (1.07-3.11),130,96.3,3.24 (2.93-3.55),3.00,3.78
da like neurons 11,1220.0,0.303,81.0,410,18,4.39,2.83 (2.19-3.48),392,95.61,4.33 (4.14-4.52),11.07,7.35
GABA neurons expressing GABA receptors 13,417.0,0.195,69.0,213,14,6.57,1.52 (0.68-2.36),199,93.43,3.96 (3.73-4.19),9.09,9.73
endothelial cells 9,916.0,0.349,78.0,302,6,1.99,1.73 (0.76-2.70),296,98.01,4.03 (3.81-4.26),8.20,10.70
oligodendrocytes 20,938.0,0.051,13.0,169,11,6.51,2.50 (1.69-3.30),158,93.49,3.56 (3.33-3.78),5.52,5.35
GABA like neurons 14,2402.0,0.482,87.0,455,29,6.37,3.08 (2.34-3.82),426,93.63,4.45 (4.27-4.64),20.09,8.07
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.084,45.0,235,8,3.4,3.49 (2.50-4.47),227,96.6,3.84 (3.60-4.08),3.41,7.76
oligodendrocytes 10,806.0,0.279,76.0,261,23,8.81,3.60 (2.85-4.35),238,91.19,4.45 (4.19-4.70),7.47,5.93
connective tissue cells 21,301.0,0.329,38.0,158,7,4.43,2.67 (1.05-4.29),151,95.57,4.35 (3.98-4.72),8.10,7.02
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,105.0,0.233,56.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00),NA,13.60
da neurons 6,729.0,0.215,77.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89),NA,8.52
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.149,38.0,252,22,8.73,2.26 (1.50-3.03),230,91.27,4.32 (4.07-4.56),11.30,7.91
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.127,56.0,345,23,6.67,3.67 (3.04-4.29),322,93.33,4.33 (4.11-4.55),6.90,5.61
oligodendrocytes 2,526.0,0.195,28.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
