tipo_celular,module_size,SMAD1_MM,SMAD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.141,65.0,166,40,24.1,2.27 (1.95-2.60),126,75.9,3.85 (3.57-4.14),5.89,4.12
oligodendrocyte progenitor cells 7,4285.0,0.157,82.0,353,65,18.41,2.09 (1.84-2.34),288,81.59,4.43 (4.26-4.61),19.57,5.47
GABA neurons expressing GLU receptors 22,703.0,0.235,78.0,23,2,8.7,1.50 (0.87-2.12),21,91.3,2.15 (1.37-2.93),2.71,4.04
GLU like neurons 17,637.0,0.106,24.0,91,14,15.38,1.85 (1.01-2.70),77,84.62,5.24 (4.78-5.71),2.98,3.07
da like neurons 11,87.0,0.234,37.0,3,0,0.0,NA,3,100.0,NA,NA,1.68
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.225,59.0,120,29,24.17,4.27 (3.62-4.93),91,75.83,4.71 (4.35-5.07),4.25,3.46
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.177,81.0,125,1,0.8,3.74 (NA-NA),124,99.2,3.35 (3.02-3.67),1.90,8.67
astrocytes 8,727.0,0.246,97.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90),4.08,3.53
oligodendrocyte progenitor cells 12,3303.0,0.068,36.0,276,54,19.57,2.06 (1.84-2.29),222,80.43,4.00 (3.77-4.24),8.47,4.29
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,367.0,0.123,38.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,44.0,0.254,28.0,2,0,0.0,NA,2,100.0,4.12 (4.00-4.25),NA,2.60
astrocytes 4,255.0,0.175,54.0,12,1,8.33,NA,11,91.67,4.62 (3.76-5.48),2.15,2.35
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
