tipo_celular,module_size,SNRNP48_MM,SNRNP48_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.174,63.0,71,4,5.63,1.32 (0.53-2.12),67,94.37,2.71 (2.29-3.14),1.89,3.68
T cells 18,388.0,0.052,4.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.129,40.0,353,33,9.35,1.68 (1.31-2.05),320,90.65,4.19 (4.02-4.37),32.93,5.50
GABA neurons expressing GLU receptors 22,203.0,0.495,100.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,1316.0,0.094,23.0,101,1,0.99,2.83 (NA-NA),100,99.01,3.05 (2.70-3.41),2.12,3.06
da like neurons 11,97.0,0.203,53.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.064,10.0,275,32,11.64,1.73 (1.36-2.09),243,88.36,4.40 (4.15-4.66),14.90,4.70
oligodendrocytes 20,253.0,0.287,88.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,2090.0,0.146,45.0,74,5,6.76,1.86 (1.51-2.20),69,93.24,3.03 (2.64-3.43),3.73,10.99
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.045,13.0,235,3,1.28,3.28 (2.13-4.42),232,98.72,3.83 (3.60-4.07),14.92,7.52
oligodendrocytes 10,483.0,0.061,17.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,100.0,0.218,27.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52),NA,1.97
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,122.0,0.36,97.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06),NA,1.95
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,108.0,0.378,78.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80),NA,3.04
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,613.0,0.118,23.0,127,10,7.87,2.37 (1.70-3.05),117,92.13,3.15 (2.69-3.61),4.19,6.46
microglia 1,1615.0,0.099,33.0,161,29,18.01,1.48 (1.13-1.82),132,81.99,3.78 (3.52-4.04),14.28,3.49
oligodendrocytes 3,681.0,0.063,19.0,87,24,27.59,1.69 (1.34-2.04),63,72.41,2.97 (2.66-3.27),6.86,3.24
oligodendrocytes 2,1630.0,0.17,94.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
