tipo_celular,module_size,MIPOL1_MM,MIPOL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.158,83.0,166,3,1.81,0.76 (0.35-1.17),163,98.19,3.45 (3.20-3.70),10.47,4.44
oligodendrocyte progenitor cells 7,4285.0,0.175,96.0,353,8,2.27,0.72 (0.33-1.11),345,97.73,3.98 (3.80-4.16),50.91,7.07
GABA neurons expressing GLU receptors 22,703.0,0.125,18.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88),1.58,4.03
GLU like neurons 17,1247.0,0.183,77.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,265.0,0.148,32.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49),NA,1.75
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.19,86.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,938.0,0.046,11.0,169,1,0.59,0.55 (NA-NA),168,99.41,3.50 (3.29-3.72),3.86,5.37
GABA like neurons 14,1300.0,0.327,93.0,306,1,0.33,1.95 (NA-NA),305,99.67,5.11 (4.84-5.37),2.69,6.72
astrocytes 8,218.0,0.069,39.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,3303.0,0.128,93.0,276,4,1.45,1.22 (0.43-2.02),272,98.55,3.57 (3.36-3.79),13.11,4.99
oligodendrocytes 10,1277.0,0.092,40.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,116.0,0.261,37.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68),NA,1.74
astrocytes 15,1768.0,0.16,94.0,105,3,2.86,1.22 (0.43-2.02),102,97.14,3.28 (2.94-3.61),5.47,3.93
oligodendrocytes 16,149.0,0.215,55.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12),NA,3.31
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,108.0,0.215,5.0,2,0,0.0,NA,2,100.0,NA,NA,1.59
astrocytes 4,752.0,0.158,58.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,1186.0,0.115,12.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,813.0,0.131,66.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,681.0,0.068,23.0,87,5,5.75,0.95 (0.40-1.49),82,94.25,2.69 (2.42-2.96),7.33,4.05
oligodendrocytes 2,347.0,0.193,49.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
