tipo_celular,module_size,ETV5_MM,ETV5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.193,66.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.137,52.0,353,56,15.86,2.11 (1.84-2.39),297,84.14,4.35 (4.17-4.53),20.00,5.81
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,289.0,0.128,25.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,358.0,0.053,19.0,31,4,12.9,3.17 (2.70-3.64),27,87.1,2.23 (1.76-2.71),2.06,4.09
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.121,90.0,276,45,16.3,2.04 (1.82-2.27),231,83.7,3.95 (3.72-4.18),9.17,4.32
oligodendrocytes 10,2107.0,0.085,20.0,358,71,19.83,2.23 (1.97-2.49),287,80.17,4.46 (4.27-4.64),22.84,6.17
connective tissue cells 21,118.0,0.277,37.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA),NA,3.19
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,105.0,0.306,92.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00),NA,13.60
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,140.0,0.286,35.0,1,0,0.0,NA,1,100.0,NA,NA,1.75
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,187.0,0.566,100.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14),NA,2.49
microglia 1,1615.0,0.128,75.0,161,55,34.16,2.13 (1.85-2.40),106,65.84,4.09 (3.78-4.40),8.78,3.70
oligodendrocytes 3,187.0,0.417,100.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,131.0,0.191,55.0,20,0,0.0,NA,20,100.0,4.51 (3.77-5.25),NA,3.82
