tipo_celular,module_size,CSPP1_MM,CSPP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211.0,0.162,49.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,624.0,0.14,39.0,142,7,4.93,3.56 (2.80-4.31),135,95.07,3.19 (2.92-3.47),4.05,4.31
astrocytes 5,1141.0,0.158,84.0,166,8,4.82,1.66 (0.70-2.62),158,95.18,3.47 (3.22-3.72),4.08,4.57
oligodendrocyte progenitor cells 7,4285.0,0.173,95.0,353,13,3.68,1.59 (0.74-2.45),340,96.32,3.99 (3.80-4.17),22.83,7.50
GABA neurons expressing GLU receptors 22,1069.0,0.166,52.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,795.0,0.107,36.0,80,3,3.75,4.43 (4.17-4.69),77,96.25,5.73 (5.30-6.15),1.71,3.06
da like neurons 11,197.0,0.37,89.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.113,39.0,297,6,2.02,3.18 (2.97-3.39),291,97.98,3.68 (3.48-3.89),6.84,5.49
oligodendrocytes 20,330.0,0.195,57.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27),NA,3.13
GABA like neurons 14,1300.0,0.217,55.0,306,6,1.96,1.52 (0.35-2.70),300,98.04,5.20 (4.94-5.45),5.90,6.72
astrocytes 8,727.0,0.108,50.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303.0,0.105,79.0,276,10,3.62,1.77 (0.91-2.63),266,96.38,3.61 (3.39-3.83),4.30,5.14
oligodendrocytes 10,2107.0,0.279,86.0,358,19,5.31,1.54 (1.01-2.07),339,94.69,4.02 (3.83-4.21),15.23,9.15
connective tissue cells 21,82.0,0.256,41.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82),NA,1.85
astrocytes 15,367.0,0.151,55.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,121.0,0.224,57.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53),NA,2.09
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,96.0,0.263,15.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,4.29
astrocytes 4,752.0,0.136,25.0,96,5,5.21,2.10 (1.06-3.14),91,94.79,3.34 (3.00-3.67),3.48,4.37
oligodendrocytes 0,1186.0,0.135,33.0,300,3,1.0,3.04 (2.82-3.27),297,99.0,3.80 (3.59-4.01),4.11,4.16
microglia 1,813.0,0.119,54.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,357.0,0.071,31.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45),NA,4.24
oligodendrocytes 2,347.0,0.138,15.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
