tipo_celular,module_size,INPPL1_MM,INPPL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181.0,0.307,93.0,8,1,12.5,2.91 (NA-NA),7,87.5,1.04 (0.29-1.79),2.04,5.05
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.091,23.0,80,4,5.0,4.16 (3.36-4.95),76,95.0,3.64 (3.21-4.07),1.97,4.43
oligodendrocyte progenitor cells 7,4285.0,0.112,19.0,353,51,14.45,2.68 (2.21-3.16),302,85.55,4.15 (3.96-4.33),21.01,5.88
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,1266.0,0.098,66.0,66,29,43.94,2.37 (1.85-2.89),37,56.06,4.11 (3.63-4.60),3.63,2.42
oligodendrocyte progenitor cells 12,708.0,0.18,71.0,32,17,53.12,2.61 (1.54-3.67),15,46.88,4.09 (2.98-5.21),3.00,2.14
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,261.0,0.035,5.0,8,4,50.0,1.87 (0.12-3.62),4,50.0,6.09 (4.30-7.88),1.65,2.01
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,110.0,0.27,24.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.18,92.0,61,3,4.92,2.86 (0.66-5.06),58,95.08,2.97 (2.55-3.39),2.53,6.20
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,958.0,0.073,4.0,290,22,7.59,2.82 (2.14-3.51),268,92.41,3.91 (3.68-4.15),5.42,4.97
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
