tipo_celular,module_size,KHSRP_MM,KHSRP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,624.0,0.13,31.0,142,5,3.52,5.60 (5.51-5.70),137,96.48,3.11 (2.85-3.37),2.05,4.38
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.125,34.0,353,71,20.11,2.77 (2.38-3.16),282,79.89,4.28 (4.09-4.46),19.22,5.26
GABA neurons expressing GLU receptors 22,400.0,0.221,64.0,24,11,45.83,1.72 (0.74-2.70),13,54.17,2.53 (2.15-2.90),4.92,2.45
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.102,50.0,275,72,26.18,2.64 (2.29-3.00),203,73.82,4.70 (4.42-4.98),10.87,4.11
oligodendrocytes 20,221.0,0.099,10.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,2090.0,0.166,59.0,74,8,10.81,1.96 (1.71-2.21),66,89.19,3.08 (2.67-3.50),3.51,11.35
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.095,52.0,235,5,2.13,2.68 (1.77-3.59),230,97.87,3.85 (3.61-4.08),3.51,7.70
oligodendrocytes 10,483.0,0.132,55.0,129,1,0.78,NA,128,99.22,3.43 (3.04-3.82),1.97,19.32
connective tissue cells 21,88.0,0.263,41.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,74.0,0.207,65.0,1,0,0.0,NA,1,100.0,NA,NA,1.34
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,100.0,0.343,71.0,9,2,22.22,4.26 (2.92-5.61),7,77.78,3.86 (2.58-5.14),1.40,1.82
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.123,69.0,238,25,10.5,4.08 (3.42-4.73),213,89.5,3.57 (3.34-3.81),4.65,5.07
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.042,4.0,76,1,1.32,NA,75,98.68,3.16 (2.77-3.55),1.86,7.36
oligodendrocytes 2,1630.0,0.169,93.0,154,2,1.3,3.34 (2.11-4.56),152,98.7,3.24 (2.97-3.51),1.49,3.62
