tipo_celular,module_size,RAB11FIP4_MM,RAB11FIP4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,349.0,0.203,57.0,68,10,14.71,2.37 (1.45-3.28),58,85.29,4.85 (4.28-5.41),2.96,3.37
astrocytes 5,932.0,0.101,39.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,229.0,0.12,18.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,823.0,0.237,82.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,1247.0,0.217,88.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,853.0,0.19,80.0,133,7,5.26,1.08 (0.23-1.93),126,94.74,3.40 (3.09-3.71),6.10,4.05
GABA neurons expressing GABA receptors 13,238.0,0.121,23.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,358.0,0.189,66.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,1300.0,0.287,84.0,306,16,5.23,2.12 (1.40-2.84),290,94.77,5.31 (5.06-5.56),4.28,6.84
astrocytes 8,771.0,0.109,46.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708.0,0.123,55.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,806.0,0.112,31.0,261,16,6.13,3.31 (2.59-4.03),245,93.87,4.46 (4.21-4.71),8.75,5.89
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.041,9.0,96,3,3.12,2.00 (NA-NA),93,96.88,3.63 (3.18-4.09),2.30,3.85
oligodendrocytes 16,69.0,0.22,65.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553.0,0.148,64.0,124,3,2.42,2.45 (-1.56-6.46),121,97.58,4.22 (3.83-4.62),2.45,3.05
astrocytes microglia 23,101.0,0.323,56.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.14,42.0,104,8,7.69,2.11 (1.03-3.19),96,92.31,2.93 (2.64-3.22),8.45,5.14
oligodendrocytes 0,1186.0,0.137,35.0,300,5,1.67,2.72 (2.06-3.37),295,98.33,3.81 (3.60-4.01),2.67,4.18
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,242.0,0.114,40.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,407.0,0.197,85.0,122,11,9.02,0.90 (0.47-1.32),111,90.98,3.65 (3.26-4.03),3.13,2.66
