tipo_celular,module_size,GAS2L1_MM,GAS2L1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.07,4.0,80,1,1.25,4.57 (NA-NA),79,98.75,3.66 (3.24-4.07),2.07,4.33
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.153,62.0,125,1,0.8,4.56 (NA-NA),124,99.2,3.34 (3.02-3.67),4.32,8.65
astrocytes 8,603.0,0.063,38.0,89,1,1.12,2.80 (NA-NA),88,98.88,2.76 (2.40-3.12),3.48,6.07
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.067,32.0,96,23,23.96,4.22 (3.46-4.99),73,76.04,3.45 (2.92-3.97),4.32,3.63
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,140.0,0.453,97.0,1,0,0.0,NA,1,100.0,NA,NA,1.75
astrocytes 4,1807.0,0.156,71.0,104,8,7.69,2.58 (1.53-3.64),96,92.31,2.89 (2.59-3.18),5.31,5.40
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
