tipo_celular,module_size,B4GAT1_MM,B4GAT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,228.0,0.187,55.0,266,18,6.77,1.98 (1.24-2.73),248,93.23,4.27 (4.07-4.48),11.09,4.54
oligodendrocyte progenitor cells 7,296.0,0.256,78.0,251,2,0.8,3.79 (3.68-3.90),249,99.2,4.07 (3.83-4.31),2.11,6.19
GABA neurons expressing GLU receptors 22,848.0,0.332,82.0,262,12,4.58,2.06 (0.96-3.16),250,95.42,4.25 (4.01-4.50),11.10,3.77
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.31,83.0,410,14,3.41,2.83 (2.09-3.57),396,96.59,4.30 (4.11-4.49),20.38,7.06
GABA neurons expressing GABA receptors 13,265.0,0.366,96.0,78,2,2.56,3.09 (2.64-3.53),76,97.44,4.40 (3.98-4.83),2.41,4.31
endothelial cells 9,338.0,0.254,80.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11),NA,9.16
oligodendrocytes 20,253.0,0.099,24.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,2402.0,0.668,98.0,455,26,5.71,1.89 (1.28-2.49),429,94.29,4.52 (4.34-4.70),25.55,7.82
astrocytes 8,520.0,0.29,86.0,288,14,4.86,2.54 (1.80-3.27),274,95.14,4.25 (4.05-4.45),13.35,4.24
oligodendrocyte progenitor cells 12,1049.0,0.058,23.0,235,8,3.4,3.17 (1.87-4.48),227,96.6,3.84 (3.60-4.07),13.48,7.41
oligodendrocytes 10,806.0,0.346,85.0,261,9,3.45,2.26 (1.58-2.94),252,96.55,4.42 (4.18-4.66),11.16,5.88
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,418.0,0.041,19.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17),4.84,2.98
oligodendrocytes 16,313.0,0.372,84.0,291,4,1.37,1.85 (0.89-2.81),287,98.63,4.37 (4.15-4.59),7.15,3.77
da neurons 6,300.0,0.23,71.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,99.0,0.327,59.0,3,1,33.33,1.74 (NA-NA),2,66.67,1.91 (0.04-3.78),2.73,5.38
astrocytes 4,1807.0,0.17,90.0,104,16,15.38,1.76 (1.25-2.28),88,84.62,3.08 (2.78-3.38),9.75,4.61
oligodendrocytes 0,116.0,0.086,7.0,169,2,1.18,3.79 (3.68-3.90),167,98.82,4.28 (3.98-4.59),2.32,6.54
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.19,78.0,345,10,2.9,2.97 (2.08-3.85),335,97.1,4.31 (4.10-4.52),22.91,5.18
oligodendrocytes 2,99.0,0.214,43.0,116,1,0.86,3.74 (NA-NA),115,99.14,3.96 (3.65-4.26),3.18,7.27
