tipo_celular,module_size,FERMT2_MM,FERMT2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.136,57.0,166,26,15.66,2.24 (1.77-2.70),140,84.34,3.65 (3.38-3.92),6.97,4.10
oligodendrocyte progenitor cells 7,666.0,0.155,40.0,127,42,33.07,3.96 (3.46-4.46),85,66.93,3.72 (3.26-4.19),3.27,7.11
GABA neurons expressing GLU receptors 22,203.0,0.23,37.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,380.0,0.169,47.0,39,1,2.56,4.12 (NA-NA),38,97.44,2.93 (2.37-3.50),2.37,2.57
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.241,55.0,62,14,22.58,4.92 (4.12-5.73),48,77.42,3.79 (3.29-4.30),2.44,4.72
oligodendrocytes 20,279.0,0.24,61.0,16,1,6.25,3.48 (NA-NA),15,93.75,2.30 (1.52-3.09),1.81,3.59
GABA like neurons 14,3052.0,0.075,6.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,577.0,0.103,63.0,83,7,8.43,2.83 (1.81-3.86),76,91.57,3.30 (2.81-3.79),2.13,4.69
oligodendrocyte progenitor cells 12,708.0,0.062,19.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08),1.92,2.59
oligodendrocytes 10,1277.0,0.183,86.0,27,1,3.7,5.62 (NA-NA),26,96.3,5.39 (4.48-6.31),3.23,6.50
connective tissue cells 21,126.0,0.284,54.0,7,1,14.29,0.82 (NA-NA),6,85.71,1.64 (0.49-2.79),3.29,1.65
astrocytes 15,1401.0,0.116,75.0,96,23,23.96,4.21 (3.47-4.96),73,76.04,3.42 (2.89-3.96),3.41,3.92
oligodendrocytes 16,151.0,0.121,8.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35),NA,1.82
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,39.0,0.27,22.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752.0,0.157,55.0,96,9,9.38,2.91 (2.35-3.48),87,90.62,3.34 (2.97-3.70),2.42,4.52
oligodendrocytes 0,613.0,0.154,60.0,127,12,9.45,2.68 (2.14-3.22),115,90.55,3.11 (2.64-3.58),4.23,6.49
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.113,66.0,87,22,25.29,1.91 (1.50-2.31),65,74.71,2.82 (2.50-3.14),6.94,3.33
oligodendrocytes 2,921.0,0.131,38.0,200,9,4.5,3.22 (2.48-3.97),191,95.5,3.64 (3.37-3.92),3.25,3.47
