tipo_celular,module_size,PPM1E_MM,PPM1E_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.097,11.0,166,29,17.47,2.31 (1.88-2.74),137,82.53,3.68 (3.41-3.96),7.20,3.99
oligodendrocyte progenitor cells 7,666.0,0.158,43.0,127,27,21.26,4.12 (3.33-4.92),100,78.74,3.73 (3.37-4.09),3.27,6.53
GABA neurons expressing GLU receptors 22,459.0,0.203,68.0,165,3,1.82,0.90 (0.75-1.04),162,98.18,5.18 (4.85-5.51),3.19,4.11
GLU like neurons 17,1247.0,0.218,88.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.251,93.0,133,28,21.05,2.24 (1.68-2.79),105,78.95,3.59 (3.24-3.94),5.08,3.92
GABA neurons expressing GABA receptors 13,266.0,0.11,20.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,403.0,0.056,21.0,18,10,55.56,1.11 (0.55-1.66),8,44.44,2.84 (1.80-3.89),4.35,3.10
GABA like neurons 14,1300.0,0.242,66.0,306,23,7.52,3.58 (2.77-4.38),283,92.48,5.28 (5.02-5.55),4.69,6.87
astrocytes 8,1266.0,0.096,64.0,66,24,36.36,2.16 (1.64-2.67),42,63.64,4.00 (3.53-4.47),3.64,2.56
oligodendrocyte progenitor cells 12,3303.0,0.091,65.0,276,35,12.68,2.47 (2.00-2.93),241,87.32,3.75 (3.52-3.98),12.01,4.11
oligodendrocytes 10,806.0,0.195,62.0,261,3,1.15,3.83 (2.46-5.20),258,98.85,4.37 (4.13-4.62),5.26,6.07
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,443.0,0.181,72.0,9,1,11.11,3.13 (NA-NA),8,88.89,3.29 (1.80-4.77),2.11,2.23
oligodendrocytes 16,123.0,0.264,81.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61),NA,3.28
da neurons 6,300.0,0.101,19.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,115.0,0.245,12.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.125,11.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37),1.77,5.81
oligodendrocytes 0,309.0,0.08,3.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,242.0,0.116,41.0,6,2,33.33,5.55 (5.23-5.87),4,66.67,6.20 (4.76-7.64),2.09,2.02
oligodendrocytes 2,347.0,0.191,48.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
