tipo_celular,module_size,ZBTB40_MM,ZBTB40_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211.0,0.141,39.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,610.0,0.244,95.0,98,21,21.43,1.38 (1.02-1.74),77,78.57,3.66 (3.37-3.96),6.08,3.48
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.161,87.0,353,35,9.92,1.67 (1.38-1.95),318,90.08,4.22 (4.04-4.39),23.06,6.41
GABA neurons expressing GLU receptors 22,1069.0,0.193,70.0,37,4,10.81,2.06 (1.60-2.51),33,89.19,2.17 (1.65-2.69),2.44,3.18
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,200.0,0.149,36.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.102,28.0,297,1,0.34,3.04 (NA-NA),296,99.66,3.68 (3.47-3.88),10.37,5.50
oligodendrocytes 20,250.0,0.328,87.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,2090.0,0.111,20.0,74,14,18.92,2.32 (2.02-2.62),60,81.08,3.11 (2.65-3.58),3.33,12.17
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.042,8.0,276,29,10.51,1.79 (1.56-2.03),247,89.49,3.82 (3.60-4.05),7.75,4.80
oligodendrocytes 10,2107.0,0.08,17.0,358,38,10.61,1.60 (1.34-1.87),320,89.39,4.24 (4.06-4.42),27.25,7.36
connective tissue cells 21,106.0,0.329,73.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09),1.92,2.32
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,71.0,0.293,86.0,1,0,0.0,NA,1,100.0,3.52 (NA-NA),NA,1.65
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,28.0,0.276,19.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.113,48.0,238,10,4.2,2.19 (1.69-2.70),228,95.8,3.71 (3.49-3.94),7.52,4.91
microglia 1,958.0,0.119,62.0,290,4,1.38,1.24 (0.56-1.92),286,98.62,3.86 (3.63-4.09),5.01,5.00
oligodendrocytes 3,681.0,0.084,39.0,87,31,35.63,1.84 (1.58-2.10),56,64.37,3.05 (2.70-3.41),4.74,3.96
oligodendrocytes 2,1630.0,0.161,86.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
