tipo_celular,module_size,HMGCL_MM,HMGCL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.081,6.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.109,51.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,221.0,0.174,39.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,2090.0,0.128,31.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,1266.0,0.065,31.0,66,10,15.15,1.34 (0.63-2.06),56,84.85,3.63 (3.23-4.03),4.49,2.68
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,483.0,0.045,8.0,129,1,0.78,2.97 (NA-NA),128,99.22,3.43 (3.04-3.83),32.21,19.09
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,443.0,0.142,41.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,156.0,0.341,97.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,70.0,0.258,16.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.53
astrocytes 4,1807.0,0.129,23.0,104,12,11.54,1.49 (0.92-2.06),92,88.46,3.06 (2.77-3.35),16.28,3.98
oligodendrocytes 0,2078.0,0.083,5.0,238,3,1.26,1.95 (0.21-3.69),235,98.74,3.66 (3.44-3.88),9.97,4.96
microglia 1,1615.0,0.078,8.0,161,19,11.8,1.36 (0.88-1.83),142,88.2,3.59 (3.33-3.86),13.92,4.30
oligodendrocytes 3,242.0,0.033,0.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,347.0,0.118,6.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
