tipo_celular,module_size,ZFYVE1_MM,ZFYVE1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249.0,0.11,17.0,35,3,8.57,4.70 (2.19-7.21),32,91.43,3.67 (2.67-4.68),1.74,2.99
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.109,51.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.108,15.0,353,34,9.63,2.40 (1.77-3.04),319,90.37,4.09 (3.91-4.27),18.64,6.94
GABA neurons expressing GLU receptors 22,823.0,0.204,67.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,1247.0,0.108,31.0,51,1,1.96,2.00 (NA-NA),50,98.04,3.66 (3.08-4.25),3.35,3.23
da like neurons 11,265.0,0.037,0.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49),NA,1.75
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,358.0,0.064,23.0,31,5,16.13,3.58 (3.19-3.96),26,83.87,2.12 (1.66-2.57),1.96,4.19
GABA like neurons 14,2090.0,0.179,68.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.061,27.0,66,12,18.18,1.15 (0.74-1.56),54,81.82,3.78 (3.40-4.16),3.56,2.82
oligodendrocyte progenitor cells 12,411.0,0.046,19.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93),NA,3.08
oligodendrocytes 10,2107.0,0.06,9.0,358,25,6.98,2.39 (1.59-3.19),333,93.02,4.01 (3.83-4.20),20.25,8.66
connective tissue cells 21,84.0,0.243,31.0,1,0,0.0,NA,1,100.0,NA,NA,1.55
astrocytes 15,1401.0,0.074,39.0,96,6,6.25,2.34 (1.65-3.04),90,93.75,3.72 (3.24-4.19),4.60,3.74
oligodendrocytes 16,90.0,0.181,43.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,96.0,0.279,32.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.144,48.0,104,15,14.42,2.58 (1.88-3.28),89,85.58,2.91 (2.61-3.22),8.05,4.95
oligodendrocytes 0,2078.0,0.121,64.0,238,9,3.78,4.13 (2.36-5.89),229,96.22,3.62 (3.40-3.83),5.69,5.00
microglia 1,1615.0,0.066,2.0,161,20,12.42,2.20 (1.16-3.24),141,87.58,3.44 (3.19-3.69),10.15,4.76
oligodendrocytes 3,639.0,0.046,4.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13),2.83,1.91
oligodendrocytes 2,1630.0,0.151,69.0,154,1,0.65,1.82 (NA-NA),153,99.35,3.26 (2.99-3.52),5.45,3.58
