tipo_celular,module_size,TTLL9_MM,TTLL9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.138,84.0,80,1,1.25,4.57 (NA-NA),79,98.75,3.66 (3.24-4.07),2.07,4.33
oligodendrocyte progenitor cells 7,4285.0,0.143,62.0,353,10,2.83,1.51 (0.86-2.15),343,97.17,3.98 (3.80-4.16),22.85,7.63
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,348.0,0.058,28.0,33,1,3.03,3.22 (NA-NA),32,96.97,2.72 (2.21-3.22),6.76,3.28
GABA like neurons 14,2090.0,0.168,59.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,1266.0,0.083,52.0,66,8,12.12,1.83 (0.78-2.87),58,87.88,3.45 (3.03-3.88),3.44,2.88
oligodendrocyte progenitor cells 12,708.0,0.17,69.0,32,4,12.5,1.10 (0.37-1.82),28,87.5,3.60 (2.75-4.46),3.38,2.49
oligodendrocytes 10,1277.0,0.109,51.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.086,50.0,96,2,2.08,3.40 (1.11-5.69),94,97.92,3.62 (3.16-4.08),5.74,3.76
oligodendrocytes 16,116.0,0.198,47.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68),NA,1.37
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,114.0,0.309,53.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.135,21.0,65,1,1.54,4.33 (NA-NA),64,98.46,2.94 (2.54-3.33),1.80,5.81
oligodendrocytes 0,187.0,0.165,49.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14),NA,2.49
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.07,26.0,15,5,33.33,2.09 (0.90-3.28),10,66.67,3.86 (2.03-5.69),1.84,2.41
oligodendrocytes 2,804.0,0.158,57.0,84,6,7.14,1.94 (1.13-2.75),78,92.86,2.76 (2.41-3.12),3.59,3.38
