tipo_celular,module_size,IFT27_MM,IFT27_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,117.0,0.15,50.0,28,3,10.71,2.66 (2.19-3.13),25,89.29,5.67 (5.18-6.16),2.06,2.46
oligodendrocyte progenitor cells 7,4285.0,0.093,6.0,353,44,12.46,2.53 (2.12-2.95),309,87.54,4.14 (3.95-4.34),16.92,6.80
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,97.0,0.051,4.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.101,14.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,1266.0,0.053,18.0,66,15,22.73,1.69 (0.96-2.42),51,77.27,3.73 (3.32-4.13),3.13,2.90
oligodendrocyte progenitor cells 12,3303.0,0.024,1.0,276,32,11.59,2.86 (2.43-3.28),244,88.41,3.66 (3.42-3.91),7.23,4.83
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,268.0,0.075,44.0,10,1,10.0,2.74 (NA-NA),9,90.0,3.83 (1.90-5.76),1.92,1.55
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,111.0,0.32,53.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.15,61.0,104,12,11.54,2.05 (1.28-2.81),92,88.46,2.98 (2.68-3.27),8.80,4.95
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
