tipo_celular,module_size,MAN2A2_MM,MAN2A2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,393.0,0.1,11.0,59,2,3.39,3.09 (2.64-3.53),57,96.61,3.11 (2.59-3.63),2.89,5.43
astrocytes 5,1656.0,0.107,37.0,136,2,1.47,2.64 (1.31-3.96),134,98.53,3.22 (2.94-3.49),3.83,5.01
oligodendrocyte progenitor cells 7,4285.0,0.142,60.0,353,17,4.82,1.48 (0.89-2.08),336,95.18,4.05 (3.87-4.23),34.61,6.72
GABA neurons expressing GLU receptors 22,400.0,0.437,98.0,24,9,37.5,1.07 (0.48-1.66),15,62.5,2.81 (2.31-3.31),5.32,2.54
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,204.0,0.158,37.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,75.0,0.093,3.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46),NA,3.40
endothelial cells 9,450.0,0.116,18.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,298.0,0.108,39.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,3052.0,0.139,50.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,771.0,0.101,42.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,708.0,0.181,71.0,32,7,21.88,0.96 (0.24-1.68),25,78.12,4.01 (3.18-4.83),3.91,2.23
oligodendrocytes 10,806.0,0.105,28.0,261,4,1.53,2.03 (1.37-2.69),257,98.47,4.41 (4.17-4.66),14.39,5.94
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,458.0,0.038,10.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,113.0,0.21,79.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71),NA,1.74
da neurons 6,228.0,0.157,82.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,109.0,0.378,87.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.139,38.0,104,9,8.65,1.58 (0.85-2.30),95,91.35,3.00 (2.71-3.28),14.14,4.57
oligodendrocytes 0,613.0,0.117,22.0,127,1,0.79,1.01 (NA-NA),126,99.21,3.08 (2.66-3.49),5.73,6.28
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.051,9.0,15,5,33.33,0.91 (0.08-1.73),10,66.67,4.82 (3.51-6.13),2.82,1.92
oligodendrocytes 2,528.0,0.182,38.0,175,3,1.71,2.49 (1.29-3.69),172,98.29,4.43 (4.08-4.78),5.90,4.60
