tipo_celular,module_size,MCCC2_MM,MCCC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.121,21.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,624.0,0.109,18.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1656.0,0.139,85.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.132,45.0,353,21,5.95,1.49 (1.02-1.95),332,94.05,4.09 (3.91-4.27),37.55,6.20
GABA neurons expressing GLU receptors 22,703.0,0.161,35.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82),1.75,4.03
GLU like neurons 17,637.0,0.115,30.0,91,9,9.89,0.97 (0.26-1.69),82,90.11,5.09 (4.64-5.54),3.53,3.01
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,250.0,0.303,82.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,3052.0,0.179,82.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,727.0,0.105,48.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303.0,0.021,1.0,276,12,4.35,1.78 (1.30-2.26),264,95.65,3.65 (3.43-3.87),19.02,4.48
oligodendrocytes 10,2107.0,0.158,54.0,358,19,5.31,1.38 (0.91-1.86),339,94.69,4.05 (3.87-4.24),39.09,7.81
connective tissue cells 21,88.0,0.338,74.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,268.0,0.08,47.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38),NA,1.59
oligodendrocytes 16,121.0,0.23,61.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53),NA,2.09
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,86.0,0.375,79.0,1,1,100.0,1.71 (NA-NA),0,0.0,NA,1.66,NA
astrocytes 4,1807.0,0.168,88.0,104,13,12.5,1.56 (1.03-2.09),91,87.5,3.07 (2.77-3.36),15.85,3.90
oligodendrocytes 0,2078.0,0.118,58.0,238,3,1.26,1.95 (0.21-3.69),235,98.74,3.66 (3.44-3.88),9.97,4.96
microglia 1,813.0,0.091,18.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,854.0,0.093,55.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,1630.0,0.147,61.0,154,2,1.3,2.47 (1.19-3.75),152,98.7,3.26 (2.99-3.52),5.25,3.57
