tipo_celular,module_size,MCTS1_MM,MCTS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.148,70.0,353,30,8.5,2.00 (1.46-2.54),323,91.5,4.11 (3.94-4.29),20.04,6.95
GABA neurons expressing GLU receptors 22,1069.0,0.15,40.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,97.0,0.05,3.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,322.0,0.018,1.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,2402.0,0.174,32.0,455,31,6.81,2.63 (2.06-3.21),424,93.19,4.52 (4.33-4.71),23.33,7.78
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.044,12.0,235,12,5.11,3.71 (3.28-4.13),223,94.89,3.83 (3.58-4.08),28.05,6.51
oligodendrocytes 10,735.0,0.09,46.0,277,2,0.72,5.98 (NA-NA),275,99.28,3.88 (3.64-4.13),2.72,8.99
connective tissue cells 21,102.0,0.302,61.0,5,3,60.0,1.38 (1.02-1.75),2,40.0,NA,1.33,1.53
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,65.0,0.254,75.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,135.0,0.328,57.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.11,42.0,238,3,1.26,2.67 (-0.40-5.74),235,98.74,3.65 (3.43-3.87),7.47,4.99
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.052,10.0,76,2,2.63,3.58 (1.34-5.82),74,97.37,3.15 (2.74-3.55),2.88,7.41
oligodendrocytes 2,1630.0,0.162,87.0,154,7,4.55,5.81 (4.16-7.46),147,95.45,3.13 (2.88-3.38),2.50,3.64
