tipo_celular,module_size,FASN_MM,FASN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,666.0,0.137,27.0,127,8,6.3,3.90 (2.54-5.26),119,93.7,3.83 (3.48-4.18),3.07,6.02
GABA neurons expressing GLU receptors 22,848.0,0.212,51.0,262,15,5.73,2.10 (1.18-3.01),247,94.27,4.28 (4.03-4.52),9.94,3.75
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.113,21.0,410,12,2.93,2.98 (2.05-3.90),398,97.07,4.28 (4.09-4.47),21.28,7.10
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,403.0,0.151,61.0,18,9,50.0,1.15 (0.48-1.81),9,50.0,2.61 (1.61-3.61),5.35,2.23
GABA like neurons 14,2402.0,0.19,38.0,455,21,4.62,1.55 (0.92-2.18),434,95.38,4.49 (4.32-4.67),30.77,7.77
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.079,33.0,32,7,21.88,1.31 (0.18-2.44),25,78.12,3.89 (3.03-4.74),3.88,2.24
oligodendrocytes 10,735.0,0.126,66.0,277,2,0.72,3.42 (NA-NA),275,99.28,3.90 (3.65-4.14),2.11,9.00
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,123.0,0.309,94.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61),NA,3.28
da neurons 6,553.0,0.125,48.0,124,2,1.61,1.54 (-0.69-3.77),122,98.39,4.24 (3.85-4.63),2.71,3.04
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.099,11.0,252,26,10.32,1.73 (1.17-2.29),226,89.68,4.38 (4.15-4.62),18.36,7.04
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.055,10.0,345,12,3.48,3.05 (2.30-3.80),333,96.52,4.31 (4.10-4.52),19.60,5.19
oligodendrocytes 2,528.0,0.183,38.0,175,11,6.29,3.20 (2.38-4.03),164,93.71,4.44 (4.08-4.80),14.76,3.94
