tipo_celular,module_size,GRB10_MM,GRB10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.138,55.0,353,24,6.8,1.93 (1.46-2.40),329,93.2,4.08 (3.89-4.26),18.52,7.30
GABA neurons expressing GLU receptors 22,400.0,0.274,85.0,24,5,20.83,1.50 (0.37-2.64),19,79.17,2.33 (1.77-2.89),6.30,2.87
GLU like neurons 17,1316.0,0.049,2.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,109.0,0.269,68.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA),NA,6.86
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.364,88.0,120,28,23.33,3.57 (3.13-4.00),92,76.67,4.99 (4.62-5.35),3.93,3.57
oligodendrocytes 20,295.0,0.201,53.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,1300.0,0.172,33.0,306,26,8.5,2.76 (2.18-3.35),280,91.5,5.43 (5.17-5.68),4.31,6.93
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.111,49.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,2107.0,0.233,78.0,358,29,8.1,1.85 (1.44-2.25),329,91.9,4.11 (3.92-4.30),20.57,8.49
connective tissue cells 21,114.0,0.167,3.0,11,0,0.0,NA,11,100.0,1.61 (0.55-2.67),NA,2.14
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,87.0,0.165,38.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553.0,0.115,40.0,124,4,3.23,4.02 (3.23-4.81),120,96.77,4.19 (3.78-4.60),2.50,3.05
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,1186.0,0.21,100.0,300,14,4.67,4.26 (3.41-5.12),286,95.33,3.76 (3.55-3.98),4.68,4.13
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.146,85.0,87,21,24.14,2.17 (1.70-2.64),66,75.86,2.73 (2.41-3.05),4.10,4.29
oligodendrocytes 2,804.0,0.206,92.0,84,4,4.76,0.69 (0.37-1.02),80,95.24,2.81 (2.48-3.15),3.13,3.41
