tipo_celular,module_size,IGSF21_MM,IGSF21_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235.0,0.404,87.0,140,10,7.14,4.31 (3.45-5.16),130,92.86,4.58 (4.28-4.88),4.92,3.44
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,436.0,0.191,80.0,219,16,7.31,5.14 (4.14-6.14),203,92.69,5.22 (4.92-5.52),8.87,4.28
GABA neurons expressing GLU receptors 22,1069.0,0.222,85.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,489.0,0.107,28.0,42,5,11.9,5.12 (4.37-5.88),37,88.1,6.13 (5.51-6.75),3.17,3.22
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,86.0,0.098,13.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72),NA,4.82
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.194,76.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,254.0,0.506,99.0,37,12,32.43,4.31 (3.41-5.20),25,67.57,4.60 (3.84-5.37),2.77,2.33
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,229.0,0.371,73.0,99,5,5.05,3.67 (2.23-5.12),94,94.95,4.34 (3.99-4.68),2.97,3.25
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,315.0,0.287,88.0,144,7,4.86,4.13 (2.91-5.36),137,95.14,4.48 (4.16-4.80),4.02,4.21
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
