tipo_celular,module_size,BCAT1_MM,BCAT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.186,50.0,102,7,6.86,1.74 (0.97-2.50),95,93.14,3.64 (3.26-4.01),5.57,2.85
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.143,62.0,353,18,5.1,1.42 (0.90-1.93),335,94.9,4.06 (3.89-4.24),33.66,6.69
GABA neurons expressing GLU receptors 22,848.0,0.24,62.0,262,3,1.15,0.52 (0.18-0.87),259,98.85,4.22 (3.98-4.46),3.99,4.11
GLU like neurons 17,300.0,0.118,7.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93),NA,2.47
da like neurons 11,265.0,0.187,50.0,4,1,25.0,2.68 (NA-NA),3,75.0,1.50 (-0.93-3.93),1.55,1.82
GABA neurons expressing GABA receptors 13,93.0,0.169,61.0,2,0,0.0,NA,2,100.0,NA,NA,2.07
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,298.0,0.146,50.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,3052.0,0.22,96.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.087,60.0,276,7,2.54,1.42 (0.89-1.94),269,97.46,3.61 (3.40-3.83),13.97,4.88
oligodendrocytes 10,806.0,0.316,82.0,261,1,0.38,1.82 (NA-NA),260,99.62,4.38 (4.14-4.62),4.38,6.07
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,91.0,0.201,44.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49),NA,4.52
da neurons 6,553.0,0.206,86.0,124,2,1.61,1.54 (-0.69-3.77),122,98.39,4.24 (3.85-4.63),2.71,3.04
astrocytes microglia 23,47.0,0.247,9.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,187.0,0.283,89.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14),NA,2.49
microglia 1,480.0,0.175,43.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97),NA,5.17
oligodendrocytes 3,854.0,0.129,82.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,131.0,0.184,50.0,20,0,0.0,NA,20,100.0,4.51 (3.77-5.25),NA,3.82
