tipo_celular,module_size,GYG1_MM,GYG1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,282.0,0.202,65.0,241,5,2.07,4.37 (2.25-6.50),236,97.93,4.04 (3.79-4.30),3.77,4.35
astrocytes 5,423.0,0.167,60.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88),NA,5.02
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.175,49.0,410,19,4.63,3.49 (2.65-4.32),391,95.37,4.28 (4.09-4.47),13.62,7.22
GABA neurons expressing GABA receptors 13,357.0,0.136,36.0,237,7,2.95,4.67 (2.03-7.31),230,97.05,4.40 (4.17-4.63),3.97,4.19
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.192,39.0,455,33,7.25,2.20 (1.57-2.84),422,92.75,4.53 (4.35-4.71),20.23,7.94
astrocytes 8,520.0,0.102,43.0,288,22,7.64,3.58 (2.65-4.51),266,92.36,4.21 (4.01-4.42),9.55,4.28
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,338.0,0.154,53.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,409.0,0.176,73.0,235,19,8.09,3.03 (2.09-3.97),216,91.91,4.05 (3.79-4.30),6.14,4.26
astrocytes microglia 23,157.0,0.326,57.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514.0,0.214,65.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79),NA,4.64
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
