tipo_celular,module_size,ARAP2_MM,ARAP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.253,97.0,71,0,0.0,NA,71,100.0,2.62 (2.21-3.03),NA,3.58
T cells 18,388.0,0.129,37.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,118.0,0.26,84.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94),NA,2.01
oligodendrocyte progenitor cells 7,229.0,0.158,33.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,567.0,0.496,97.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64),NA,3.63
GLU like neurons 17,637.0,0.173,56.0,91,5,5.49,3.02 (0.99-5.05),86,94.51,4.66 (4.12-5.19),3.65,3.02
da like neurons 11,408.0,0.629,97.0,25,1,4.0,0.26 (NA-NA),24,96.0,4.84 (3.54-6.14),2.49,2.27
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.493,86.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,676.0,0.193,42.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44),NA,3.52
GABA like neurons 14,3052.0,0.107,23.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,771.0,0.274,77.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,153.0,0.379,37.0,27,2,7.41,3.06 (-1.07-7.19),25,92.59,5.07 (4.14-6.00),1.35,2.21
oligodendrocytes 10,204.0,0.42,43.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17),NA,3.72
connective tissue cells 21,250.0,0.692,93.0,117,4,3.42,4.14 (2.93-5.35),113,96.58,5.43 (5.02-5.84),2.69,3.78
astrocytes 15,208.0,0.446,83.0,4,1,25.0,3.56 (NA-NA),3,75.0,2.90 (-0.92-6.72),1.75,3.17
oligodendrocytes 16,287.0,0.099,3.0,105,2,1.9,5.16 (NA-NA),103,98.1,5.07 (4.62-5.53),2.31,3.49
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,141.0,0.219,31.0,30,0,0.0,NA,30,100.0,5.66 (4.78-6.55),NA,4.05
astrocytes 4,220.0,0.188,63.0,63,0,0.0,NA,63,100.0,5.13 (4.57-5.69),NA,3.29
oligodendrocytes 0,1186.0,0.181,93.0,300,3,1.0,4.01 (3.12-4.91),297,99.0,3.79 (3.58-4.00),2.93,4.17
microglia 1,127.0,0.264,70.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87),NA,2.47
oligodendrocytes 3,1003.0,0.178,92.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,348.0,0.44,97.0,114,3,2.63,4.63 (3.58-5.68),111,97.37,5.13 (4.71-5.56),2.04,4.46
