tipo_celular,module_size,FKBP2_MM,FKBP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,328.0,0.211,68.0,128,1,0.78,2.60 (NA-NA),127,99.22,3.58 (3.23-3.92),2.97,6.79
oligodendrocyte progenitor cells 7,448.0,0.158,64.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.197,56.0,410,3,0.73,2.18 (0.37-3.99),407,99.27,4.27 (4.08-4.46),12.83,7.48
GABA neurons expressing GABA receptors 13,417.0,0.24,88.0,213,7,3.29,0.66 (0.23-1.09),206,96.71,3.89 (3.66-4.12),11.25,9.63
endothelial cells 9,916.0,0.397,84.0,302,2,0.66,2.99 (1.51-4.47),300,99.34,3.99 (3.76-4.22),6.86,10.68
oligodendrocytes 20,938.0,0.2,81.0,169,3,1.78,2.18 (0.37-3.99),166,98.22,3.51 (3.29-3.73),5.58,5.36
GABA like neurons 14,2402.0,0.612,96.0,455,10,2.2,1.08 (0.40-1.77),445,97.8,4.44 (4.26-4.62),38.21,8.17
astrocytes 8,603.0,0.159,83.0,89,1,1.12,1.23 (NA-NA),88,98.88,2.78 (2.43-3.14),7.73,6.02
oligodendrocyte progenitor cells 12,1049.0,0.217,86.0,235,1,0.43,3.74 (NA-NA),234,99.57,3.82 (3.59-4.06),12.10,7.60
oligodendrocytes 10,735.0,0.136,71.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,118.0,0.478,100.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA),NA,3.19
astrocytes 15,1401.0,0.105,67.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,107.0,0.251,72.0,11,1,9.09,0.52 (NA-NA),10,90.91,1.58 (0.87-2.29),3.11,3.61
da neurons 6,729.0,0.269,92.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89),NA,8.52
astrocytes microglia 23,45.0,0.437,85.0,8,0,0.0,NA,8,100.0,NA,NA,3.20
astrocytes 4,208.0,0.139,17.0,173,1,0.58,2.60 (NA-NA),172,99.42,3.81 (3.51-4.11),1.46,5.64
oligodendrocytes 0,546.0,0.189,61.0,252,12,4.76,1.28 (0.65-1.91),240,95.24,4.28 (4.04-4.52),12.67,7.99
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.181,67.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,526.0,0.339,73.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
