tipo_celular,module_size,NSUN3_MM,NSUN3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184.0,0.251,75.0,21,8,38.1,1.12 (0.45-1.80),13,61.9,3.08 (2.45-3.72),2.28,1.83
T cells 18,610.0,0.179,70.0,98,26,26.53,1.50 (1.17-1.84),72,73.47,3.80 (3.50-4.09),6.14,3.28
astrocytes 5,1656.0,0.121,59.0,136,11,8.09,3.01 (2.08-3.95),125,91.91,3.23 (2.94-3.51),5.73,4.92
oligodendrocyte progenitor cells 7,4285.0,0.136,51.0,353,45,12.75,2.06 (1.68-2.44),308,87.25,4.25 (4.08-4.43),22.76,5.92
GABA neurons expressing GLU receptors 22,823.0,0.212,72.0,23,2,8.7,2.00 (0.05-3.95),21,91.3,2.44 (1.65-3.24),1.86,3.57
GLU like neurons 17,489.0,0.066,5.0,42,1,2.38,2.68 (NA-NA),41,97.62,6.11 (5.58-6.64),2.25,3.24
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,403.0,0.095,41.0,18,9,50.0,0.88 (0.45-1.30),9,50.0,2.88 (1.98-3.78),4.95,2.63
GABA like neurons 14,3052.0,0.128,40.0,125,2,1.6,4.08 (1.96-6.21),123,98.4,3.34 (3.01-3.66),4.03,8.69
astrocytes 8,354.0,0.131,56.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303.0,0.051,16.0,276,34,12.32,2.08 (1.73-2.43),242,87.68,3.82 (3.60-4.05),9.27,4.53
oligodendrocytes 10,2107.0,0.136,45.0,358,48,13.41,1.92 (1.54-2.29),310,86.59,4.26 (4.08-4.44),25.03,7.06
connective tissue cells 21,112.0,0.253,58.0,7,2,28.57,2.00 (1.71-2.28),5,71.43,1.94 (0.81-3.06),1.66,2.04
astrocytes 15,1768.0,0.06,23.0,105,19,18.1,1.92 (1.43-2.41),86,81.9,3.53 (3.16-3.89),7.12,3.29
oligodendrocytes 16,156.0,0.197,49.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,121.0,0.32,56.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA),NA,1.47
astrocytes 4,1807.0,0.154,67.0,104,24,23.08,1.88 (1.47-2.29),80,76.92,3.19 (2.87-3.50),10.16,3.97
oligodendrocytes 0,479.0,0.105,12.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,813.0,0.119,53.0,79,11,13.92,5.21 (4.41-6.00),68,86.08,2.80 (2.41-3.19),3.20,8.66
oligodendrocytes 3,854.0,0.079,37.0,76,2,2.63,1.60 (-1.13-4.34),74,97.37,2.81 (2.48-3.14),3.77,4.75
oligodendrocytes 2,1630.0,0.135,36.0,154,8,5.19,4.19 (2.92-5.46),146,94.81,3.19 (2.92-3.46),3.30,3.61
