tipo_celular,module_size,EPG5_MM,EPG5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.155,49.0,19,3,15.79,4.03 (4.03-4.03),16,84.21,2.24 (1.46-3.01),2.03,3.57
T cells 18,477.0,0.236,86.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1656.0,0.119,55.0,136,1,0.74,2.91 (NA-NA),135,99.26,3.21 (2.94-3.48),3.06,5.00
oligodendrocyte progenitor cells 7,4285.0,0.153,77.0,353,24,6.8,2.54 (1.67-3.41),329,93.2,4.02 (3.84-4.20),25.82,6.77
GABA neurons expressing GLU receptors 22,1069.0,0.132,25.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,380.0,0.207,76.0,39,3,7.69,4.20 (0.84-7.56),36,92.31,2.85 (2.32-3.38),3.24,2.51
da like neurons 11,209.0,0.314,80.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.126,49.0,297,2,0.67,5.45 (4.21-6.69),295,99.33,3.66 (3.45-3.86),2.90,5.54
oligodendrocytes 20,228.0,0.049,11.0,5,2,40.0,1.10 (-0.55-2.76),3,60.0,4.69 (2.53-6.85),1.93,2.82
GABA like neurons 14,3052.0,0.204,93.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,140.0,0.148,58.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
oligodendrocyte progenitor cells 12,3303.0,0.072,41.0,276,15,5.43,2.49 (1.76-3.22),261,94.57,3.62 (3.40-3.85),10.47,4.80
oligodendrocytes 10,735.0,0.062,21.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,104.0,0.323,70.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09),NA,1.73
astrocytes 15,1401.0,0.03,3.0,96,2,2.08,1.89 (1.68-2.10),94,97.92,3.66 (3.20-4.11),1.73,3.84
oligodendrocytes 16,108.0,0.108,6.0,5,1,20.0,2.46 (NA-NA),4,80.0,4.35 (3.43-5.27),1.55,2.78
da neurons 6,307.0,0.124,54.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,51.0,0.438,94.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.157,61.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078.0,0.126,75.0,238,9,3.78,4.26 (2.68-5.83),229,96.22,3.61 (3.39-3.83),7.64,4.92
microglia 1,346.0,0.107,18.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,639.0,0.073,28.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82),3.19,1.87
oligodendrocytes 2,921.0,0.132,41.0,200,6,3.0,3.73 (2.14-5.32),194,97.0,3.62 (3.35-3.89),5.46,3.40
