tipo_celular,module_size,CERS2_MM,CERS2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.134,26.0,302,10,3.31,2.60 (1.78-3.43),292,96.69,4.05 (3.82-4.28),5.47,10.83
oligodendrocytes 20,938.0,0.177,73.0,169,7,4.14,1.65 (0.78-2.51),162,95.86,3.58 (3.36-3.79),4.84,5.39
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,1277.0,0.06,17.0,27,2,7.41,NA,25,92.59,5.41 (4.54-6.27),1.44,6.77
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,69.0,0.203,50.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,101.0,0.481,99.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.183,58.0,252,20,7.94,1.90 (1.22-2.57),232,92.06,4.35 (4.11-4.59),10.14,8.04
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.148,93.0,76,5,6.58,3.76 (3.68-3.85),71,93.42,3.11 (2.69-3.54),6.14,7.37
oligodendrocytes 2,528.0,0.363,91.0,175,8,4.57,3.36 (2.67-4.05),167,95.43,4.44 (4.08-4.81),7.73,4.47
