tipo_celular,module_size,WASF1_MM,WASF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.147,69.0,353,22,6.23,1.70 (1.19-2.21),331,93.77,4.05 (3.87-4.24),19.47,7.31
GABA neurons expressing GLU receptors 22,400.0,0.141,17.0,24,7,29.17,1.19 (0.31-2.07),17,70.83,2.56 (2.03-3.08),5.88,2.64
GLU like neurons 17,1316.0,0.126,52.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41),2.05,3.06
da like neurons 11,89.0,0.353,66.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,2.49
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,275.0,0.047,9.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2402.0,0.151,25.0,455,15,3.3,2.28 (1.47-3.10),440,96.7,4.44 (4.26-4.62),23.99,8.32
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.343,89.0,32,8,25.0,2.33 (0.21-4.46),24,75.0,3.55 (2.74-4.36),3.55,2.28
oligodendrocytes 10,735.0,0.058,18.0,277,1,0.36,4.26 (NA-NA),276,99.64,3.89 (3.65-4.13),3.84,8.96
connective tissue cells 21,111.0,0.366,92.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,122.0,0.159,16.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06),NA,1.95
da neurons 6,448.0,0.085,29.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,309.0,0.209,87.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.122,70.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13),2.83,1.91
oligodendrocytes 2,804.0,0.136,30.0,84,11,13.1,1.97 (0.97-2.96),73,86.9,2.79 (2.43-3.14),2.36,3.55
