tipo_celular,module_size,NEDD9_MM,NEDD9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.251,79.0,73,7,9.59,3.67 (3.14-4.20),66,90.41,3.55 (3.16-3.94),2.89,3.26
T cells 18,388.0,0.213,77.0,84,3,3.57,4.76 (4.27-5.24),81,96.43,2.90 (2.57-3.23),2.42,4.39
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.147,68.0,353,44,12.46,2.07 (1.72-2.41),309,87.54,4.22 (4.04-4.40),23.72,5.83
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.407,99.0,141,11,7.8,3.76 (2.43-5.09),130,92.2,2.89 (2.66-3.11),3.50,7.10
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.137,96.0,276,33,11.96,2.29 (1.93-2.64),243,88.04,3.77 (3.53-4.00),11.58,4.23
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,327.0,0.43,82.0,120,47,39.17,2.82 (2.41-3.24),73,60.83,4.22 (3.86-4.57),3.01,2.66
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,480.0,0.193,51.0,163,34,20.86,4.27 (3.89-4.66),129,79.14,3.56 (3.24-3.87),2.78,5.80
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
