tipo_celular,module_size,PGM1_MM,PGM1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,624.0,0.153,50.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,932.0,0.088,19.0,80,14,17.5,5.89 (4.64-7.15),66,82.5,3.41 (3.03-3.80),1.65,4.87
oligodendrocyte progenitor cells 7,4285.0,0.144,63.0,353,22,6.23,1.62 (1.06-2.19),331,93.77,4.08 (3.90-4.26),34.78,6.29
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,300.0,0.2,62.0,16,3,18.75,2.29 (2.29-2.29),13,81.25,2.02 (0.93-3.12),1.82,2.62
da like neurons 11,200.0,0.113,14.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,86.0,0.164,48.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72),NA,4.82
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.129,41.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,1266.0,0.077,45.0,66,10,15.15,1.34 (0.63-2.06),56,84.85,3.63 (3.23-4.03),4.49,2.68
oligodendrocyte progenitor cells 12,3303.0,0.067,35.0,276,17,6.16,2.37 (1.75-2.99),259,93.84,3.64 (3.41-3.86),13.72,4.55
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,145.0,0.32,66.0,1,0,0.0,NA,1,100.0,NA,NA,1.58
astrocytes 15,1401.0,0.076,41.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,409.0,0.09,25.0,235,40,17.02,4.08 (3.57-4.59),195,82.98,3.95 (3.66-4.23),4.92,4.31
astrocytes microglia 23,101.0,0.328,55.0,6,0,0.0,NA,6,100.0,4.26 (2.94-5.59),NA,2.93
astrocytes 4,721.0,0.131,14.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
