tipo_celular,module_size,UCHL5_MM,UCHL5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.112,16.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,506.0,0.12,18.0,225,25,11.11,2.80 (2.23-3.37),200,88.89,3.76 (3.49-4.03),6.32,8.10
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.132,45.0,353,96,27.2,2.60 (2.35-2.85),257,72.8,4.57 (4.39-4.76),16.92,4.76
GABA neurons expressing GLU receptors 22,823.0,0.115,14.0,23,4,17.39,2.59 (1.55-3.63),19,82.61,2.34 (1.44-3.24),1.97,3.73
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,142.0,0.195,42.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA),NA,1.71
GABA neurons expressing GABA receptors 13,93.0,0.143,40.0,2,0,0.0,NA,2,100.0,NA,NA,2.07
endothelial cells 9,1653.0,0.067,6.0,297,20,6.73,3.78 (3.25-4.31),277,93.27,3.66 (3.45-3.88),5.92,5.49
oligodendrocytes 20,295.0,0.234,68.0,28,5,17.86,2.24 (1.83-2.64),23,82.14,2.18 (1.61-2.74),2.06,3.29
GABA like neurons 14,2402.0,0.18,34.0,455,54,11.87,3.20 (2.63-3.76),401,88.13,4.57 (4.39-4.75),14.57,8.06
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.039,5.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08),1.92,2.59
oligodendrocytes 10,806.0,0.079,17.0,261,1,0.38,3.41 (NA-NA),260,99.62,4.37 (4.13-4.61),6.65,6.06
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,81.0,0.305,90.0,1,0,0.0,NA,1,100.0,NA,NA,3.71
da neurons 6,448.0,0.095,41.0,43,2,4.65,3.73 (3.62-3.83),41,95.35,3.25 (2.70-3.81),3.84,3.45
astrocytes microglia 23,41.0,0.432,90.0,2,0,0.0,NA,2,100.0,1.57 (1.57-1.57),NA,8.62
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.112,46.0,238,33,13.87,3.20 (2.76-3.65),205,86.13,3.71 (3.47-3.96),5.61,4.93
microglia 1,813.0,0.108,41.0,79,1,1.27,4.40 (NA-NA),78,98.73,3.08 (2.68-3.49),3.77,7.95
oligodendrocytes 3,854.0,0.066,20.0,76,5,6.58,1.82 (0.74-2.91),71,93.42,2.85 (2.51-3.19),3.67,4.79
oligodendrocytes 2,1630.0,0.166,92.0,154,7,4.55,3.46 (2.92-4.00),147,95.45,3.24 (2.96-3.51),2.11,3.66
