tipo_celular,module_size,DDRGK1_MM,DDRGK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.118,24.0,410,51,12.44,4.44 (4.01-4.87),359,87.56,4.21 (4.00-4.42),7.45,7.52
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.265,64.0,302,18,5.96,4.50 (3.45-5.54),284,94.04,3.93 (3.71-4.16),4.22,11.06
oligodendrocytes 20,938.0,0.212,83.0,169,30,17.75,3.45 (2.97-3.92),139,82.25,3.49 (3.24-3.74),3.85,5.69
GABA like neurons 14,2402.0,0.288,64.0,455,71,15.6,3.97 (3.47-4.48),384,84.4,4.44 (4.25-4.63),13.18,8.03
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,735.0,0.053,14.0,277,11,3.97,6.37 (5.87-6.87),266,96.03,3.76 (3.52-4.00),2.76,9.20
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,107.0,0.29,88.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28),2.31,4.04
da neurons 6,729.0,0.165,58.0,182,6,3.3,1.95 (0.99-2.92),176,96.7,3.71 (3.45-3.96),3.95,8.68
astrocytes microglia 23,161.0,0.415,89.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.177,54.0,252,58,23.02,3.77 (3.16-4.38),194,76.98,4.22 (3.97-4.47),5.92,8.90
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,303.0,0.115,41.0,154,3,1.95,6.68 (5.75-7.62),151,98.05,3.54 (3.23-3.85),1.91,12.04
oligodendrocytes 2,526.0,0.269,52.0,213,12,5.63,6.59 (5.85-7.33),201,94.37,3.77 (3.51-4.04),2.89,8.24
