tipo_celular,module_size,CDV3_MM,CDV3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178.0,0.192,33.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,506.0,0.097,10.0,225,1,0.44,1.29 (NA-NA),224,99.56,3.62 (3.37-3.87),10.30,7.89
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.105,12.0,353,3,0.85,1.58 (-0.37-3.52),350,99.15,3.91 (3.73-4.10),49.55,7.71
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.103,16.0,410,0,0.0,NA,410,100.0,4.25 (4.06-4.43),NA,7.52
GABA neurons expressing GABA receptors 13,417.0,0.095,6.0,213,2,0.94,0.78 (-0.24-1.79),211,99.06,3.79 (3.54-4.03),9.83,9.68
endothelial cells 9,559.0,0.209,66.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,938.0,0.024,2.0,169,0,0.0,NA,169,100.0,3.48 (3.26-3.70),NA,5.36
GABA like neurons 14,2402.0,0.208,44.0,455,2,0.44,0.61 (-0.07-1.28),453,99.56,4.36 (4.18-4.55),60.46,8.61
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.075,46.0,276,0,0.0,NA,276,100.0,3.54 (3.32-3.76),NA,5.11
oligodendrocytes 10,735.0,0.133,70.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,142.0,0.25,18.0,55,0,0.0,NA,55,100.0,3.42 (2.58-4.26),NA,3.29
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,75.0,0.172,36.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553.0,0.078,10.0,124,0,0.0,NA,124,100.0,4.18 (3.79-4.58),NA,3.03
astrocytes microglia 23,80.0,0.337,59.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,613.0,0.111,16.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46),NA,6.28
microglia 1,406.0,0.113,23.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63),NA,6.74
oligodendrocytes 3,457.0,0.085,32.0,345,1,0.29,1.29 (NA-NA),344,99.71,4.29 (4.08-4.49),6.65,5.69
oligodendrocytes 2,528.0,0.204,52.0,175,1,0.57,1.29 (NA-NA),174,99.43,4.40 (4.06-4.75),7.99,4.60
