tipo_celular,module_size,AKAP8_MM,AKAP8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.116,21.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45),NA,4.90
T cells 18,610.0,0.101,14.0,98,15,15.31,1.58 (0.94-2.22),83,84.69,3.41 (3.09-3.72),10.87,2.80
astrocytes 5,1656.0,0.092,17.0,136,2,1.47,1.39 (1.08-1.71),134,98.53,3.24 (2.97-3.51),6.31,4.97
oligodendrocyte progenitor cells 7,4285.0,0.123,31.0,353,25,7.08,2.03 (1.45-2.62),328,92.92,4.07 (3.89-4.25),30.03,6.39
GABA neurons expressing GLU receptors 22,1069.0,0.191,70.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,853.0,0.149,62.0,133,14,10.53,1.41 (0.89-1.92),119,89.47,3.52 (3.20-3.83),5.38,4.02
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.084,16.0,297,4,1.35,3.31 (2.95-3.68),293,98.65,3.68 (3.47-3.89),7.07,5.50
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.136,37.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.065,31.0,66,14,21.21,1.49 (0.93-2.05),52,78.79,3.79 (3.39-4.19),4.36,2.57
oligodendrocyte progenitor cells 12,3303.0,0.035,4.0,276,15,5.43,1.88 (1.43-2.34),261,94.57,3.67 (3.45-3.89),15.66,4.50
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,139.0,0.369,82.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,418.0,0.034,14.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17),4.84,2.98
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,121.0,0.384,90.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA),NA,1.47
astrocytes 4,1807.0,0.14,42.0,104,13,12.5,1.84 (1.25-2.43),91,87.5,3.02 (2.72-3.32),13.94,4.18
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,958.0,0.082,9.0,290,6,2.07,1.51 (0.79-2.23),284,97.93,3.88 (3.65-4.10),8.76,4.92
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
