tipo_celular,module_size,BIRC2_MM,BIRC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.092,8.0,102,46,45.1,3.12 (2.71-3.52),56,54.9,3.84 (3.27-4.42),3.68,2.50
T cells 18,393.0,0.111,20.0,59,1,1.69,2.74 (NA-NA),58,98.31,3.11 (2.60-3.62),2.27,5.40
astrocytes 5,1656.0,0.131,76.0,136,4,2.94,2.73 (1.22-4.24),132,97.06,3.22 (2.94-3.49),3.37,5.04
oligodendrocyte progenitor cells 7,4285.0,0.129,41.0,353,55,15.58,2.60 (2.17-3.02),298,84.42,4.15 (3.96-4.34),18.96,6.05
GABA neurons expressing GLU receptors 22,567.0,0.115,13.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.09,11.0,410,27,6.59,3.75 (3.27-4.23),383,93.41,4.29 (4.09-4.49),6.88,7.56
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.086,29.0,275,48,17.45,2.79 (2.33-3.24),227,82.55,4.33 (4.05-4.62),7.09,5.63
oligodendrocytes 20,938.0,0.094,33.0,169,22,13.02,3.80 (3.15-4.46),147,86.98,3.43 (3.20-3.66),3.48,5.65
GABA like neurons 14,2402.0,0.084,5.0,455,35,7.69,2.94 (2.30-3.59),420,92.31,4.50 (4.31-4.68),17.27,8.13
astrocytes 8,603.0,0.038,9.0,89,3,3.37,0.92 (0.81-1.03),86,96.63,2.85 (2.50-3.20),5.80,6.05
oligodendrocyte progenitor cells 12,3303.0,0.064,32.0,276,48,17.39,2.86 (2.43-3.29),228,82.61,3.69 (3.45-3.93),9.06,4.28
oligodendrocytes 10,2107.0,0.025,1.0,358,64,17.88,2.59 (2.18-3.00),294,82.12,4.19 (4.00-4.39),19.06,7.38
connective tissue cells 21,139.0,0.291,50.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73),NA,2.05
astrocytes 15,1768.0,0.03,3.0,105,28,26.67,2.73 (2.24-3.23),77,73.33,3.41 (2.99-3.82),5.87,3.29
oligodendrocytes 16,82.0,0.152,21.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,140.0,0.276,27.0,1,0,0.0,NA,1,100.0,NA,NA,1.75
astrocytes 4,1807.0,0.167,87.0,104,25,24.04,2.39 (1.82-2.97),79,75.96,3.01 (2.69-3.33),8.06,4.55
oligodendrocytes 0,2078.0,0.13,82.0,238,22,9.24,3.40 (2.73-4.07),216,90.76,3.66 (3.42-3.89),5.59,4.96
microglia 1,958.0,0.126,72.0,290,26,8.97,3.00 (2.32-3.67),264,91.03,3.89 (3.65-4.13),4.39,5.06
oligodendrocytes 3,743.0,0.097,69.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,1630.0,0.174,97.0,154,3,1.95,2.71 (NA-NA),151,98.05,3.25 (2.98-3.52),2.86,3.61
