tipo_celular,module_size,ZNF789_MM,ZNF789_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.087,5.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.089,13.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57),7.46,4.87
oligodendrocyte progenitor cells 7,4285.0,0.12,27.0,353,40,11.33,1.72 (1.45-1.98),313,88.67,4.26 (4.09-4.44),26.30,5.73
GABA neurons expressing GLU receptors 22,823.0,0.096,7.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23),2.12,3.48
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,330.0,0.04,7.0,36,15,41.67,1.95 (1.74-2.16),21,58.33,1.90 (1.29-2.50),2.59,3.51
GABA like neurons 14,2090.0,0.066,3.0,74,15,20.27,2.32 (2.04-2.60),59,79.73,3.13 (2.66-3.60),3.24,12.34
astrocytes 8,283.0,0.088,21.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.124,91.0,276,34,12.32,1.84 (1.61-2.07),242,87.68,3.87 (3.64-4.10),11.09,4.27
oligodendrocytes 10,2107.0,0.074,14.0,358,44,12.29,1.68 (1.43-1.92),314,87.71,4.30 (4.12-4.47),31.22,6.43
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,377.0,0.173,67.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45),2.71,2.35
oligodendrocytes 16,84.0,0.139,20.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50),NA,2.06
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,125.0,0.305,51.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.131,26.0,104,23,22.12,1.61 (1.27-1.94),81,77.88,3.26 (2.96-3.56),11.15,3.76
oligodendrocytes 0,2078.0,0.1,23.0,238,9,3.78,2.10 (1.58-2.62),229,96.22,3.71 (3.48-3.93),7.99,4.91
microglia 1,1615.0,0.093,26.0,161,40,24.84,1.72 (1.45-1.98),121,75.16,3.95 (3.68-4.22),10.86,3.64
oligodendrocytes 3,357.0,0.067,26.0,127,2,1.57,2.65 (2.03-3.27),125,98.43,3.13 (2.79-3.47),1.73,4.28
oligodendrocytes 2,1630.0,0.135,34.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
