tipo_celular,module_size,PKD1_MM,PKD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,624.0,0.155,52.0,142,9,6.34,3.82 (3.22-4.41),133,93.66,3.16 (2.88-3.44),3.35,4.36
astrocytes 5,328.0,0.089,9.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,4285.0,0.095,7.0,353,78,22.1,2.52 (2.25-2.79),275,77.9,4.43 (4.24-4.62),15.71,5.90
GABA neurons expressing GLU receptors 22,714.0,0.089,5.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00),1.76,3.81
GLU like neurons 17,300.0,0.234,83.0,16,1,6.25,0.79 (NA-NA),15,93.75,2.18 (1.29-3.08),1.89,2.51
da like neurons 11,215.0,0.519,100.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.161,43.0,54,2,3.7,5.82 (4.50-7.13),52,96.3,4.77 (4.12-5.43),1.91,5.16
oligodendrocytes 20,358.0,0.325,93.0,31,3,9.68,3.29 (2.72-3.86),28,90.32,2.25 (1.79-2.72),1.88,4.04
GABA like neurons 14,1300.0,0.266,77.0,306,64,20.92,3.43 (3.05-3.81),242,79.08,5.76 (5.49-6.03),5.87,6.93
astrocytes 8,603.0,0.145,80.0,89,7,7.87,1.50 (0.81-2.20),82,92.13,2.91 (2.54-3.28),4.58,6.17
oligodendrocyte progenitor cells 12,411.0,0.039,12.0,103,13,12.62,4.68 (3.82-5.53),90,87.38,5.70 (5.28-6.12),2.83,3.12
oligodendrocytes 10,1277.0,0.071,24.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,86.0,0.406,93.0,7,0,0.0,NA,7,100.0,3.20 (2.46-3.95),NA,1.48
astrocytes 15,1401.0,0.158,91.0,96,6,6.25,2.38 (1.77-3.00),90,93.75,3.71 (3.24-4.19),2.30,3.90
oligodendrocytes 16,88.0,0.222,66.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,41.0,0.221,8.0,3,3,100.0,NA,0,0.0,NA,1.65,NA
astrocytes 4,208.0,0.114,7.0,173,4,2.31,4.22 (2.58-5.86),169,97.69,3.79 (3.48-4.09),2.46,5.70
oligodendrocytes 0,2078.0,0.114,49.0,238,25,10.5,3.04 (2.59-3.50),213,89.5,3.72 (3.48-3.96),6.42,4.86
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,187.0,0.072,26.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,921.0,0.122,25.0,200,19,9.5,3.26 (2.75-3.76),181,90.5,3.67 (3.38-3.96),4.52,3.35
