tipo_celular,module_size,RPS7_MM,RPS7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.339,68.0,98,42,42.86,3.41 (2.70-4.13),56,57.14,3.05 (2.43-3.68),23.71,5.77
T cells 18,506.0,0.512,95.0,225,58,25.78,3.47 (3.02-3.92),167,74.22,3.67 (3.37-3.97),15.76,5.17
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,448.0,0.297,90.0,108,22,20.37,4.99 (4.03-5.96),86,79.63,2.87 (2.42-3.31),18.05,16.88
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.253,71.0,410,59,14.39,4.08 (3.68-4.48),351,85.61,4.28 (4.07-4.49),7.94,7.44
GABA neurons expressing GABA receptors 13,417.0,0.165,53.0,213,66,30.99,3.14 (2.63-3.66),147,69.01,4.04 (3.79-4.30),8.82,10.07
endothelial cells 9,916.0,0.598,98.0,302,31,10.26,4.41 (3.60-5.23),271,89.74,3.93 (3.70-4.16),18.42,9.76
oligodendrocytes 20,348.0,0.165,60.0,33,4,12.12,3.14 (2.75-3.52),29,87.88,2.67 (2.12-3.23),2.15,3.55
GABA like neurons 14,2402.0,0.6,95.0,455,84,18.46,3.61 (3.12-4.09),371,81.54,4.54 (4.35-4.73),14.68,7.51
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.432,97.0,235,35,14.89,4.70 (4.05-5.34),200,85.11,3.68 (3.44-3.92),13.99,6.50
oligodendrocytes 10,483.0,0.4,91.0,129,25,19.38,4.49 (3.79-5.20),104,80.62,3.22 (2.79-3.66),28.52,16.95
connective tissue cells 21,301.0,0.546,86.0,158,44,27.85,3.92 (3.35-4.49),114,72.15,4.42 (3.95-4.88),14.71,4.12
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,113.0,0.209,50.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75),NA,1.88
da neurons 6,729.0,0.215,78.0,182,33,18.13,3.56 (2.82-4.30),149,81.87,3.65 (3.38-3.92),18.59,6.29
astrocytes microglia 23,137.0,0.409,67.0,188,48,25.53,2.83 (2.29-3.37),140,74.47,5.01 (4.66-5.36),17.81,3.49
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.273,85.0,252,81,32.14,3.67 (3.16-4.19),171,67.86,4.32 (4.06-4.58),12.67,6.10
microglia 1,406.0,0.465,85.0,278,34,12.23,4.92 (4.39-5.45),244,87.77,4.27 (3.97-4.57),17.11,5.29
oligodendrocytes 3,303.0,0.232,82.0,154,25,16.23,5.07 (4.20-5.93),129,83.77,3.38 (3.06-3.70),29.69,8.38
oligodendrocytes 2,526.0,0.327,70.0,213,29,13.62,5.40 (4.62-6.18),184,86.38,3.78 (3.50-4.06),17.66,6.40
