tipo_celular,module_size,RPS20_MM,RPS20_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.423,81.0,98,31,31.63,2.89 (2.21-3.58),67,68.37,3.39 (2.76-4.01),28.33,6.58
T cells 18,506.0,0.253,68.0,225,36,16.0,2.77 (2.32-3.23),189,84.0,3.79 (3.51-4.07),23.92,4.85
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,448.0,0.136,47.0,108,13,12.04,4.09 (3.07-5.12),95,87.96,3.14 (2.66-3.61),27.75,15.67
GABA neurons expressing GLU receptors 22,567.0,0.212,59.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,77.0,0.132,23.0,2,0,0.0,NA,2,100.0,NA,NA,1.47
endothelial cells 9,916.0,0.423,87.0,302,15,4.97,3.26 (2.48-4.03),287,95.03,4.02 (3.79-4.26),30.48,9.62
oligodendrocytes 20,938.0,0.092,33.0,169,23,13.61,2.97 (2.33-3.62),146,86.39,3.55 (3.32-3.78),15.44,3.78
GABA like neurons 14,2402.0,0.362,75.0,455,43,9.45,2.20 (1.74-2.65),412,90.55,4.61 (4.43-4.79),25.20,7.13
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.244,88.0,235,22,9.36,3.48 (2.99-3.98),213,90.64,3.85 (3.60-4.10),22.44,6.08
oligodendrocytes 10,483.0,0.302,82.0,129,15,11.63,3.72 (3.27-4.16),114,88.37,3.39 (2.96-3.83),37.00,16.85
connective tissue cells 21,125.0,0.338,67.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,96.0,0.271,69.0,102,40,39.22,2.34 (1.90-2.78),62,60.78,3.97 (3.60-4.35),13.29,4.03
da neurons 6,729.0,0.106,26.0,182,18,9.89,2.75 (2.11-3.38),164,90.11,3.74 (3.47-4.00),27.66,6.42
astrocytes microglia 23,137.0,0.38,57.0,188,35,18.62,2.29 (1.84-2.75),153,81.38,4.99 (4.65-5.32),21.76,3.80
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.116,19.0,252,44,17.46,2.43 (1.88-2.98),208,82.54,4.50 (4.26-4.74),22.92,5.10
microglia 1,406.0,0.423,81.0,278,13,4.68,3.88 (3.41-4.36),265,95.32,4.39 (4.10-4.67),38.92,5.16
oligodendrocytes 3,303.0,0.1,31.0,154,14,9.09,4.09 (3.07-5.12),140,90.91,3.58 (3.24-3.91),43.93,8.63
oligodendrocytes 2,526.0,0.175,22.0,213,11,5.16,3.74 (3.19-4.29),202,94.84,3.99 (3.70-4.28),39.07,6.24
