tipo_celular,module_size,LEMD2_MM,LEMD2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.089,8.0,71,5,7.04,1.75 (0.95-2.55),66,92.96,2.70 (2.26-3.14),1.92,3.70
T cells 18,727.0,0.091,11.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,1656.0,0.098,24.0,136,2,1.47,3.74 (NA-NA),134,98.53,3.20 (2.93-3.48),1.61,5.04
oligodendrocyte progenitor cells 7,4285.0,0.129,41.0,353,28,7.93,1.96 (1.47-2.45),325,92.07,4.10 (3.92-4.28),21.85,6.88
GABA neurons expressing GLU receptors 22,848.0,0.058,1.0,262,9,3.44,2.10 (1.20-2.99),253,96.56,4.26 (4.02-4.51),5.43,4.06
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.068,6.0,297,3,1.01,3.10 (1.02-5.19),294,98.99,3.68 (3.47-3.88),3.73,5.54
oligodendrocytes 20,330.0,0.152,42.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27),NA,3.13
GABA like neurons 14,3052.0,0.111,26.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,262.0,0.056,11.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,3303.0,0.033,3.0,276,12,4.35,2.32 (1.58-3.05),264,95.65,3.61 (3.39-3.83),7.79,4.99
oligodendrocytes 10,2107.0,0.073,14.0,358,24,6.7,1.82 (1.29-2.35),334,93.3,4.05 (3.87-4.24),21.64,8.60
connective tissue cells 21,88.0,0.336,73.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,261.0,0.149,50.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64),1.77,1.85
oligodendrocytes 16,61.0,0.173,39.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,135.0,0.493,100.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.146,53.0,104,9,8.65,2.22 (1.13-3.30),95,91.35,2.93 (2.64-3.22),9.80,4.98
oligodendrocytes 0,2078.0,0.114,50.0,238,6,2.52,3.07 (0.85-5.29),232,97.48,3.65 (3.43-3.87),5.10,5.02
microglia 1,1615.0,0.076,6.0,161,14,8.7,1.28 (0.67-1.89),147,91.3,3.51 (3.25-3.77),12.90,4.72
oligodendrocytes 3,743.0,0.04,2.0,76,1,1.32,3.74 (NA-NA),75,98.68,3.15 (2.75-3.55),6.36,7.30
oligodendrocytes 2,1630.0,0.167,92.0,154,1,0.65,2.12 (NA-NA),153,99.35,3.25 (2.99-3.52),2.69,3.60
