tipo_celular,module_size,CAMK4_MM,CAMK4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,388.0,0.458,100.0,84,16,19.05,3.74 (3.09-4.39),68,80.95,2.78 (2.42-3.14),2.26,4.81
astrocytes 5,156.0,0.091,10.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,666.0,0.148,34.0,127,19,14.96,2.68 (1.98-3.38),108,85.04,4.08 (3.72-4.43),4.07,6.15
GABA neurons expressing GLU receptors 22,714.0,0.158,37.0,17,6,35.29,2.69 (2.26-3.13),11,64.71,2.10 (1.23-2.96),2.40,4.20
GLU like neurons 17,489.0,0.166,65.0,42,1,2.38,2.68 (NA-NA),41,97.62,6.11 (5.58-6.64),2.25,3.24
da like neurons 11,71.0,0.252,55.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,75.0,0.172,56.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46),NA,3.40
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.112,11.0,306,31,10.13,2.98 (2.50-3.46),275,89.87,5.43 (5.16-5.69),6.42,6.74
astrocytes 8,727.0,0.053,13.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303.0,0.088,61.0,276,53,19.2,2.35 (2.09-2.60),223,80.8,3.94 (3.70-4.19),9.43,4.08
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,443.0,0.331,100.0,9,2,22.22,2.04 (-0.10-4.18),7,77.78,3.68 (2.17-5.18),3.04,1.99
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,115.0,0.317,55.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,220.0,0.148,39.0,63,13,20.63,3.05 (2.65-3.46),50,79.37,5.90 (5.33-6.47),4.02,3.10
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
