tipo_celular,module_size,USP32_MM,USP32_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352.0,0.162,42.0,73,7,9.59,4.05 (3.66-4.44),66,90.41,3.50 (3.11-3.88),2.44,3.30
T cells 18,349.0,0.178,48.0,68,3,4.41,0.90 (0.75-1.04),65,95.59,4.58 (4.05-5.12),2.46,3.35
astrocytes 5,1141.0,0.12,33.0,166,12,7.23,1.98 (1.17-2.80),154,92.77,3.53 (3.27-3.78),6.06,4.43
oligodendrocyte progenitor cells 7,666.0,0.215,77.0,127,14,11.02,2.32 (1.80-2.84),113,88.98,4.13 (3.77-4.48),4.34,6.02
GABA neurons expressing GLU receptors 22,1069.0,0.209,80.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,637.0,0.15,46.0,91,9,9.89,0.97 (0.26-1.69),82,90.11,5.09 (4.64-5.54),3.53,3.01
da like neurons 11,853.0,0.228,90.0,133,10,7.52,1.16 (0.42-1.90),123,92.48,3.46 (3.15-3.77),6.09,4.01
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.203,91.0,297,6,2.02,3.46 (2.38-4.54),291,97.98,3.68 (3.47-3.88),7.36,5.48
oligodendrocytes 20,676.0,0.639,92.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66),4.02,3.50
GABA like neurons 14,1300.0,0.157,26.0,306,17,5.56,2.44 (1.90-2.98),289,94.44,5.33 (5.07-5.59),5.19,6.80
astrocytes 8,771.0,0.219,69.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708.0,0.195,76.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,236.0,0.407,29.0,82,4,4.88,3.24 (2.72-3.75),78,95.12,5.11 (4.57-5.65),2.52,3.90
connective tissue cells 21,106.0,0.228,26.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA),NA,1.33
astrocytes 15,458.0,0.122,64.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,153.0,0.451,87.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40),NA,2.89
da neurons 6,398.0,0.19,64.0,138,19,13.77,2.44 (1.88-3.00),119,86.23,5.29 (4.93-5.65),2.67,2.74
astrocytes microglia 23,253.0,0.29,74.0,47,1,2.13,0.94 (NA-NA),46,97.87,2.89 (2.57-3.22),2.72,3.09
astrocytes 4,752.0,0.121,10.0,96,1,1.04,4.43 (NA-NA),95,98.96,3.27 (2.94-3.61),4.55,4.32
oligodendrocytes 0,261.0,0.203,63.0,42,5,11.9,1.31 (0.80-1.82),37,88.1,4.57 (3.92-5.22),2.22,2.28
microglia 1,480.0,0.141,25.0,163,13,7.98,3.43 (2.95-3.91),150,92.02,3.74 (3.45-4.02),4.79,5.20
oligodendrocytes 3,116.0,0.271,49.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96),1.62,1.41
oligodendrocytes 2,348.0,0.144,21.0,114,1,0.88,3.70 (NA-NA),113,99.12,5.13 (4.72-5.55),2.39,4.41
